用户名,会员,星级,评论,采集时间,类型1,类型2,评论时间1,评论时间2,评论时间3
****1,,"<div class=""comment-star star3""></div>",价格有点贵了，郊果一般,2022-04-23 20:41:21.867,美白黑炭面膜10片,,2017-04-23 20:42,,
****r,,"<div class=""comment-star star2""></div>",贴完脸上出红点，过敏了。,2022-04-23 20:41:21.984,美白黑炭面膜10片,,2017-04-10 22:45,,
****o,,"<div class=""comment-star star3""></div>",查不了真假，看使用情况吧,2022-04-23 20:41:22.131,美白黑炭面膜10片,,2018-03-24 18:12,,
f***a,PLUS会员,"<div class=""comment-star star3""></div>",一般吧，补水但不见美白。,2022-04-23 20:41:22.816,美白黑炭面膜10片,,2017-07-23 20:17,,
****z,,"<div class=""comment-star star3""></div>",怎么外面包装都是开的？？不封装的？？,2022-04-23 20:41:22.939,美白黑炭面膜,,,,2019-06-10 19:50
l***g,,"<div class=""comment-star star3""></div>",还没用，但包装怎么都坏了,2022-04-23 20:41:23.050,,透亮黑炭面膜10片,,2016-10-18 18:04,
J***3,,"<div class=""comment-star star3""></div>",精华液没有商场卖的粘稠,2022-04-23 20:41:23.155,美白黑炭面膜10片,,2017-12-07 21:48,,
9***m,PLUS会员,"<div class=""comment-star star2""></div>",一般般吧，用了没什么感觉,2022-04-23 20:41:23.266,美白黑炭面膜10片,,2018-02-24 11:23,,
****t,,"<div class=""comment-star star2""></div>",用了一段时间没什么效果,2022-04-23 20:41:23.366,美白黑炭面膜10片,,2018-08-08 15:44,,
你***y,PLUS会员,"<div class=""comment-star star2""></div>",感觉像假的，好油，也不吸收,2022-04-23 20:41:23.466,【焕白因子】美白保湿黑炭面膜,,,,2019-10-27 22:44
J***U,,"<div class=""comment-star star2""></div>",个人感觉一般很油的感觉,2022-04-23 20:41:23.579,美白黑炭面膜,,,,2019-01-21 23:50
****d,,"<div class=""comment-star star2""></div>",都压的不成样子了，怎么办,2022-04-23 20:41:23.693,,美白黑炭面膜10片,,2017-08-23 14:21,
T***g,,"<div class=""comment-star star3""></div>",来的时候面膜已经开口了,2022-04-23 20:41:23.822,,美白黑炭面膜,,,
小***5,,"<div class=""comment-star star3""></div>",包装盒都是破的，担心是不是假货,2022-04-23 20:41:24.470,美白黑炭面膜10片,,2018-07-02 09:52,,
b***y,,"<div class=""comment-star star2""></div>",一般，不好也没坏没有效果,2022-04-23 20:41:24.599,透亮黑炭面膜10片,,2016-10-28 22:14,,
田***s,PLUS会员,"<div class=""comment-star star2""></div>",实事求是的评价:效果不好,2022-04-23 20:41:24.712,美白黑炭面膜10片,,2018-05-03 22:40,,
J***香,,"<div class=""comment-star star3""></div>",感觉不是很好，点都不方便。,2022-04-23 20:41:24.830,美白黑炭面膜10片,,2017-11-19 17:09,,
u***s,PLUS会员,"<div class=""comment-star star2""></div>",有点儿失望，包装盒都是坏的，,2022-04-23 20:41:24.941,【焕白因子】美白保湿黑面膜,,,,2020-06-03 08:20
u***t,,"<div class=""comment-star star2""></div>",包装盒居然是破的包装盒居然是破的,2022-04-23 20:41:25.067,美白黑炭面膜10片,,2017-04-01 08:29,,
r***o,PLUS会员,"<div class=""comment-star star2""></div>",不是假货看着包装也像假的了,2022-04-23 20:41:25.196,【焕白因子】美白保湿黑面膜,,,,2020-04-08 13:55
u***u,,"<div class=""comment-star star3""></div>",没什么特别感觉不值这价,2022-04-23 20:41:25.335,美白黑炭面膜10片,,2016-12-31 17:21,,
u***f,,"<div class=""comment-star star3""></div>",开过了，难道这也有二手的？,2022-04-23 20:41:25.452,美白黑炭面膜10片,,,,
愤***石,,"<div class=""comment-star star2""></div>",就用几个，效果感觉不出来,2022-04-23 20:41:25.595,美白黑炭面膜10片,,2017-11-16 11:50,,
L***丫,,"<div class=""comment-star star3""></div>",用袋子包装的，面膜盒子都被挤压破了。,2022-04-23 20:41:26.167,,美白黑炭面膜,,,
****c,,"<div class=""comment-star star3""></div>",用后觉得比较油腻，不像真的,2022-04-23 20:41:26.354,透亮黑炭面膜10片,,2016-10-08 10:29,,
天***3,PLUS会员,"<div class=""comment-star star3""></div>",第一次用这个，感觉不匝地。,2022-04-23 20:41:26.463,,透亮黑炭面膜10片,,2016-10-21 22:48,
u***5,PLUS会员,"<div class=""comment-star star3""></div>",买来包装都烂了，不知道是不是正品,2022-04-23 20:41:26.661,美白黑炭面膜10片,,2018-03-27 01:04,,
****t,PLUS会员,"<div class=""comment-star star3""></div>",啥嘛，包装就用袋子装的，收到压成这了。,2022-04-23 20:41:26.780,,美白黑炭面膜10片,,2018-03-22 22:50,
d***0,,"<div class=""comment-star star3""></div>",精华液很少，跟韩国买的有差别,2022-04-23 20:41:26.884,透亮黑炭面膜10片,,2016-11-11 10:55,,
镇***王,PLUS会员,"<div class=""comment-star star3""></div>",感觉一般般下次不会再买了,2022-04-23 20:41:26.988,美白黑炭面膜10片,,2017-01-08 18:50,,
小***8,PLUS会员,"<div class=""comment-star star2""></div>",跟之前用的感觉有点不一样。,2022-04-23 20:41:27.156,美白黑炭面膜10片,,2018-06-11 09:01,,
****1,PLUS会员,"<div class=""comment-star star2""></div>",物品可以速度可以就是少了两片。,2022-04-23 20:41:27.267,【焕白因子】美白保湿黑面膜,,,,2020-03-28 15:18
****1,PLUS会员,"<div class=""comment-star star3""></div>",不太好用，说实话，不值这个价,2022-04-23 20:41:27.399,美白黑炭面膜10片,,2018-06-10 08:47,,
_***羊,,"<div class=""comment-star star3""></div>",快递不行呀，快递过来面膜盒都压坏了,2022-04-23 20:41:27.895,美白黑炭面膜10片,,2017-10-09 19:44,,
秒***m,,"<div class=""comment-star star3""></div>",买这么贵，结果一点用都没有,2022-04-23 20:41:28.055,美白黑炭面膜10片,,2017-10-02 00:25,,
L***9,,"<div class=""comment-star star3""></div>",不适合男士用面膜额头不够长,2022-04-23 20:41:28.176,美白黑炭面膜10片,,2018-09-19 13:46,,
w***y,,"<div class=""comment-star star3""></div>",一般吧。没有评论说的那么好。,2022-04-23 20:41:28.287,美白黑炭面膜10片,,2018-09-28 22:41,,
****u,PLUS会员,"<div class=""comment-star star3""></div>",太一般了，用了三天没什么感觉,2022-04-23 20:41:28.403,美白黑炭面膜10片,,2017-06-08 08:13,,
u***o,,"<div class=""comment-star star2""></div>",买了两盒，收到以后两个盒子都是破的。,2022-04-23 20:41:28.535,美白黑炭面膜10片,,2018-01-28 23:01,,
****0,,"<div class=""comment-star star3""></div>",这包装让人不得不怀疑是不是正品,2022-04-23 20:41:28.653,【焕白因子】美白保湿黑面膜,,,,2020-04-13 12:28
大***弟,,"<div class=""comment-star star3""></div>",包装不好，破的，用后还过敏了,2022-04-23 20:41:28.772,美白黑炭面膜10片,,2018-06-22 17:24,,
****c,,"<div class=""comment-star star2""></div>",不知道是不是正品。效果一般般,2022-04-23 20:41:28.890,美白黑炭面膜10片,,2017-06-05 08:23,,
g***E,,"<div class=""comment-star star2""></div>",打开盒子都是坏的！不知道是不是正品！,2022-04-23 20:41:29.044,美白黑炭面膜10片,,2017-06-07 06:32,,
周***7,PLUS会员,"<div class=""comment-star star3""></div>",包装破烂成这样，瞬间心情不美丽了。,2022-04-23 20:41:29.645,,【焕白因子】美白保湿黑面膜,,,
B***j,PLUS会员,"<div class=""comment-star star3""></div>",收到后盒子是打开的，没有膜包着,2022-04-23 20:41:29.788,美白黑炭面膜,,,,2019-07-02 12:05
****i,,"<div class=""comment-star star2""></div>",吸收是很快，不过本人用了过敏。,2022-04-23 20:41:29.898,美白黑炭面膜10片,,2017-11-02 07:21,,
马***子,PLUS会员,"<div class=""comment-star star2""></div>",么有用呢还，感觉不错吆,2022-04-23 20:41:29.998,美白黑炭面膜10片,,2017-06-02 14:44,,
小***店,PLUS会员,"<div class=""comment-star star3""></div>",不吸收!可能皮肤不适应,2022-04-23 20:41:30.100,美白黑炭面膜10片,,2017-11-27 11:51,,
多***了,PLUS会员,"<div class=""comment-star star3""></div>",包装和以前的不一样是不是真品有待考证,2022-04-23 20:41:30.233,【焕白因子】美白保湿黑面膜,,,,2019-11-15 07:32
我***爷,,"<div class=""comment-star star3""></div>",没效果感觉哎！油油油的,2022-04-23 20:41:30.347,美白黑炭面膜10片,,2018-05-29 12:03,,
翎***世,PLUS会员,"<div class=""comment-star star3""></div>",我老婆说不好用，不值这个价格,2022-04-23 20:41:30.469,美白黑炭面膜10片,,2017-09-14 08:11,,
扬***H,PLUS会员,"<div class=""comment-star star3""></div>",一般般，凑合用吧，包装也不太好,2022-04-23 20:41:30.593,美白黑炭面膜10片,,2018-06-28 18:30,,
****e,,"<div class=""comment-star star2""></div>",为什么这款没有封口处的标签？,2022-04-23 20:41:30.714,,美白黑炭面膜,,,
_***r,,"<div class=""comment-star star3""></div>",不像是正品，跟之前朋友韩国买的感觉不一样,2022-04-23 20:41:31.348,美白黑炭面膜10片,,2017-01-15 23:36,,
****b,,"<div class=""comment-star star2""></div>",不好，像假的，扫码也扫不到,2022-04-23 20:41:31.471,【补水提亮】美白保湿黑面膜,,2020-07-20 16:09,,
u***f,PLUS会员,"<div class=""comment-star star2""></div>",这个不是进口的，国产的，有点坑,2022-04-23 20:41:31.622,透亮黑炭面膜10片,,2016-11-23 12:30,,
****上,,"<div class=""comment-star star2""></div>",一共买了四盒，包装都坏了。,2022-04-23 20:41:31.730,,美白黑炭面膜10片,,2018-01-29 09:22,
****7,,"<div class=""comment-star star3""></div>",不是很好用用了几次没什么感觉,2022-04-23 20:41:31.846,美白黑炭面膜10片,,2017-10-27 20:30,,
****u,,"<div class=""comment-star star3""></div>",贴额头处的面膜纸有点儿小,2022-04-23 20:41:31.959,【焕白因子】美白保湿黑面膜,,,,2020-04-09 10:11
l***5,,"<div class=""comment-star star3""></div>",感觉不怎么好用，没效果，,2022-04-23 20:41:32.099,透亮黑炭面膜10片,,2016-10-06 10:29,,
1***m,,"<div class=""comment-star star3""></div>",补水还行，没想象中的差。,2022-04-23 20:41:32.221,美白黑炭面膜10片,,,,
****0,,"<div class=""comment-star star2""></div>",不怎么好用没有说的好,2022-04-23 20:41:32.337,美白黑炭面膜10片,,2017-04-19 18:49,,
阿***乐,PLUS会员,"<div class=""comment-star star3""></div>",保湿效果一般，下面长，额头上面短。,2022-04-23 20:41:32.494,美白黑炭面膜,,,,2018-11-20 12:00
****2,,"<div class=""comment-star star3""></div>",挺补水，但是没有亮肤作用,2022-04-23 20:41:33.019,透亮黑炭面膜10片,,2016-12-14 16:41,,
t***0,,"<div class=""comment-star star3""></div>",和店里比较差了将近40元，心塞。,2022-04-23 20:41:33.169,,美白黑炭面膜,,,
u***q,,"<div class=""comment-star star2""></div>",面膜不错，就是出库太慢,2022-04-23 20:41:33.271,美白黑炭面膜10片,,2018-03-28 12:24,,
d***u,PLUS会员,"<div class=""comment-star star3""></div>",包装盒是打开的，不知道是不是正品。,2022-04-23 20:41:33.370,【焕白因子】美白保湿黑面膜,,,,2020-02-20 19:54
0***g,,"<div class=""comment-star star3""></div>",使用了4片了，皮肤什么改观也没有,2022-04-23 20:41:33.462,美白黑炭面膜10片,,2017-10-09 08:53,,
醉***思,,"<div class=""comment-star star2""></div>",还行，买完就降价，京东套路深。,2022-04-23 20:41:33.563,美白黑炭面膜10片,,2017-07-05 03:36,,
h***1,,"<div class=""comment-star star2""></div>",面膜有点干，精华比较少,2022-04-23 20:41:33.682,美白黑炭面膜,,,,2019-06-11 20:33
寒***桐,PLUS会员,"<div class=""comment-star star2""></div>",面积有点小，设计的不好,2022-04-23 20:41:33.785,美白黑炭面膜,,,,2019-08-10 10:33
u***g,,"<div class=""comment-star star3""></div>",用的觉得很一般，没有评价那么好,2022-04-23 20:41:33.886,美白黑炭面膜10片,,2018-05-14 17:34,,
曾***儿,,"<div class=""comment-star star3""></div>",水份少，打开面膜干干的,2022-04-23 20:41:34.011,美白黑炭面膜,,,,2019-09-22 09:00
****e,,"<div class=""comment-star star2""></div>",使用感受：有点味道，不好问的味道,2022-04-23 20:41:34.515,美白黑炭面膜,,,,2019-09-12 17:46
u***l,,"<div class=""comment-star star2""></div>",用了之后没感觉到有什么效果。。。,2022-04-23 20:41:34.646,透亮黑炭面膜10片,,2016-12-02 17:21,,
d***7,,"<div class=""comment-star star3""></div>",第一次在网上买面膜，感觉怪怪的?,2022-04-23 20:41:34.769,美白黑炭面膜10片,,2018-05-18 11:08,,
****0,,"<div class=""comment-star star2""></div>",不知道是不是正品，收到货盒子就是开过的,2022-04-23 20:41:34.906,美白黑炭面膜10片,,2017-04-19 19:48,,
u***y,,"<div class=""comment-star star2""></div>",过敏了！不知道为什么刚开始挺好！,2022-04-23 20:41:35.011,美白黑炭面膜10片,,,,
s***8,,"<div class=""comment-star star2""></div>",感觉没什么效果啊各位请慎重考虑,2022-04-23 20:41:35.144,美白黑炭面膜10片,,2018-03-14 13:36,,
李***6,,"<div class=""comment-star star2""></div>",用了一个月了，感觉一点效果都没有,2022-04-23 20:41:35.257,美白黑炭面膜10片,,2017-01-06 03:18,,
u***6,,"<div class=""comment-star star2""></div>",打开快递包装，里面的面膜盒子成这样子了。,2022-04-23 20:41:35.376,美白黑炭面膜,,,,2019-06-05 21:12
****d,PLUS会员,"<div class=""comment-star star3""></div>",是不是有活动是一种产品，原价是一种产品？,2022-04-23 20:41:35.491,美白黑炭面膜,,,,2019-08-04 18:45
****i,PLUS会员,"<div class=""comment-star star3""></div>",一般，和其他的面膜一样，没什么区别。,2022-04-23 20:41:35.640,美白黑炭面膜10片,,2017-09-23 13:52,,
****j,PLUS会员,"<div class=""comment-star star3""></div>",东西没有原来的好，敷上去皮肤过敏.,2022-04-23 20:41:36.307,美白黑炭面膜,,,,2019-04-25 10:56
颖***3,,"<div class=""comment-star star2""></div>",我只想说，里面的包装盒都被拆开了，不会在买了,2022-04-23 20:41:36.430,美白黑炭面膜10片,,2018-05-15 21:29,,
A***悔,,"<div class=""comment-star star3""></div>",效果不大，和没用感觉一样！,2022-04-23 20:41:36.528,美白黑炭面膜10片,,2018-05-23 22:56,,
秘***菜,,"<div class=""comment-star star3""></div>",一般，觉得还不如蓝色补水那款,2022-04-23 20:41:36.631,【焕白因子】美白保湿黑面膜,,,,2020-02-05 13:12
****o,,"<div class=""comment-star star2""></div>",居然二维码验证不支持！为什么还带二维码标贴？,2022-04-23 20:41:36.728,美白黑炭面膜,,,,2019-09-04 11:31
N***K,,"<div class=""comment-star star3""></div>",里面的包装是打开的，盒子有明显拆开的痕迹,2022-04-23 20:41:36.841,美白黑炭面膜10片,,2017-12-23 17:12,,
符***g,PLUS会员,"<div class=""comment-star star3""></div>",盒子都没有密封该不会是假的吧,2022-04-23 20:41:36.960,,【补水提亮】美白保湿黑面膜,,2020-11-14 18:17,
u***l,,"<div class=""comment-star star3""></div>",和屈臣氏买的还是有区别。精华要少些。,2022-04-23 20:41:37.076,美白黑炭面膜10片,,,,
j***a,,"<div class=""comment-star star2""></div>",活动不靠谱买完就降价而且并没有优惠多少,2022-04-23 20:41:37.189,美白黑炭面膜10片,,,,
W***k,,"<div class=""comment-star star3""></div>",个人感觉没什么效果，没变白,2022-04-23 20:41:37.316,美白黑炭面膜10片,,2017-07-07 09:19,,
德***姬,,"<div class=""comment-star star3""></div>",效果不大，没有什么太大作用,2022-04-23 20:41:38.182,美白黑炭面膜10片,,2017-08-05 08:46,,
a***强,PLUS会员,"<div class=""comment-star star3""></div>",没有白面膜好，精华基本没有,2022-04-23 20:41:38.300,,美白黑炭面膜10片,,2017-08-12 13:44,
u***x,,"<div class=""comment-star star3""></div>",面膜一般，没什么太大的效果,2022-04-23 20:41:38.434,美白黑炭面膜10片,,2018-04-24 15:45,,
心***姐,,"<div class=""comment-star star3""></div>",第一次买这个牌子的，然而包装有点点损坏了,2022-04-23 20:41:38.551,,美白黑炭面膜10片,,2017-07-14 18:39,
走***呀,,"<div class=""comment-star star3""></div>",包装烂的可怕不知道你们怎么弄的,2022-04-23 20:41:38.693,,透亮黑炭面膜10片,,2016-07-19 14:34,
梦***o,PLUS会员,"<div class=""comment-star star3""></div>",一般般，美白效果不咋的。。。。。。。。。。,2022-04-23 20:41:38.806,,美白黑炭面膜10片,,2018-10-09 10:55,
k***v,PLUS会员,"<div class=""comment-star star3""></div>",价格便宜，效果一般，也就值这个价吧,2022-04-23 20:41:38.925,美白黑炭面膜10片,,2018-08-13 21:11,,
-***-,,"<div class=""comment-star star2""></div>",一般般不像正品做完了没什么效果,2022-04-23 20:41:39.056,美白黑炭面膜10片,,2017-05-16 12:46,,
诸***6,,"<div class=""comment-star star2""></div>",商品可以就是快递包装和产品包装给压坏了,2022-04-23 20:41:39.173,,【焕白因子】美白保湿黑面膜,,,
z***2,,"<div class=""comment-star star3""></div>",东西还可以，但是价格变动得我不想说了，*也是醉了,2022-04-23 20:41:39.317,美白黑炭面膜10片,,,,
****e,,"<div class=""comment-star star2""></div>",真的很好用，但还是过敏了,2022-04-23 20:41:39.974,【焕白因子】美白保湿黑面膜,,,,2020-02-05 19:34
z***7,PLUS会员,"<div class=""comment-star star2""></div>","面膜体积小,补水效果一般",2022-04-23 20:41:40.096,【焕白因子】美白保湿黑面膜,,,,2020-02-17 11:02
c***5,,"<div class=""comment-star star3""></div>",香味不怎么喜欢，闻着难受,2022-04-23 20:41:40.212,【焕白因子】美白保湿黑面膜,,,,2020-04-29 08:36
d***6,PLUS会员,"<div class=""comment-star star2""></div>",精华有点少，感觉效果一般。,2022-04-23 20:41:40.305,美白黑炭面膜,,,,2019-07-05 21:55
K***y,,"<div class=""comment-star star3""></div>",没有在别处买的水润精华多，不像真的,2022-04-23 20:41:40.408,美白黑炭面膜,,,,2019-03-24 11:56
****u,PLUS会员,"<div class=""comment-star star2""></div>",打开收到货就是这个样子，您觉得呢，，，,2022-04-23 20:41:40.525,,美白黑炭面膜10片,,2018-06-01 00:41,
h***8,,"<div class=""comment-star star3""></div>",偏油。。不知道是不是正品。感觉太油。。。,2022-04-23 20:41:40.635,美白黑炭面膜10片,,2018-06-18 09:59,,
陳***-,,"<div class=""comment-star star3""></div>",不好用效果不明显，也不好闻,2022-04-23 20:41:40.747,,美白黑炭面膜10片,,2017-05-21 21:32,
****c,,"<div class=""comment-star star3""></div>",坚持着用了2盒，没有感觉到明显的效果,2022-04-23 20:41:40.855,美白黑炭面膜10片,,2017-10-25 11:28,,
芯***h,PLUS会员,"<div class=""comment-star star3""></div>",一直都在用的产品，只是这次收到的包装裂开了,2022-04-23 20:41:41.001,美白黑炭面膜,,,,2019-05-21 12:15
自***-,PLUS会员,"<div class=""comment-star star3""></div>",我用有点过敏，脸上长痘痘了,2022-04-23 20:41:41.644,美白黑炭面膜10片,,2018-09-04 08:56,,
****x,,"<div class=""comment-star star2""></div>",没有之前的好，精华液太少了,2022-04-23 20:41:41.765,美白黑炭面膜10片,,2018-10-10 10:55,,
怕***2,,"<div class=""comment-star star2""></div>",刚刚拿到手还没有用，晚上试试看怎么样,2022-04-23 20:41:41.882,,美白黑炭面膜10片,,2017-11-08 23:14,
u***g,,"<div class=""comment-star star2""></div>",一分钱一分货、便宜没好货。韩国的也一样羊,2022-04-23 20:41:41.995,【焕白因子】美白保湿黑面膜,,,,2020-02-05 20:59
n***8,PLUS会员,"<div class=""comment-star star3""></div>",媳妇说不好用，打开坨在一起,2022-04-23 20:41:42.125,美白黑炭面膜,,,,2019-08-06 10:43
j***a,PLUS会员,"<div class=""comment-star star2""></div>",用的一般，感觉用完没什么效果,2022-04-23 20:41:42.247,美白黑炭面膜10片,,2018-05-18 22:34,,
D***0,,"<div class=""comment-star star2""></div>",不好用，以前买过，里面是干的,2022-04-23 20:41:42.370,美白黑炭面膜,,,,2019-06-23 23:37
小***8,,"<div class=""comment-star star2""></div>",媳妇说和她自己买的用着有点不一样！,2022-04-23 20:41:42.487,美白黑炭面膜10片,,2017-08-30 20:55,,
我***期,PLUS会员,"<div class=""comment-star star2""></div>",有点油腻，没有蓝色补水的好用,2022-04-23 20:41:42.616,美白黑炭面膜,,,,2019-05-10 11:48
奇***s,,"<div class=""comment-star star3""></div>",感觉面膜用起来一般吧，不太像是真的诶,2022-04-23 20:41:42.762,美白黑炭面膜10片,,2017-04-07 07:44,,
u***i,PLUS会员,"<div class=""comment-star star3""></div>",一般般吧，感觉没有美白效果,2022-04-23 20:41:43.335,【补水提亮】美白保湿黑面膜,,2020-12-05 12:52,,
我***仔,,"<div class=""comment-star star2""></div>",用了一个月了。一点效果都没感觉到呢,2022-04-23 20:41:43.450,美白黑炭面膜10片,,2017-05-03 08:13,,
f***2,,"<div class=""comment-star star3""></div>",包装完全破了，虽然是面膜，但是也不能包的这么随意吧,2022-04-23 20:41:43.584,透亮黑炭面膜10片,,2016-11-28 17:30,,
u***7,,"<div class=""comment-star star3""></div>",给老婆买的，她说不是太好，太干了一些。,2022-04-23 20:41:43.685,美白黑炭面膜10片,,,,
s***1,PLUS会员,"<div class=""comment-star star2""></div>",一般，面膜液不是很足，很快干,2022-04-23 20:41:43.785,美白黑炭面膜,,,,2019-10-08 12:50
妮***儿,PLUS会员,"<div class=""comment-star star2""></div>",味道有点怪补水效果一般,2022-04-23 20:41:43.881,【焕白因子】美白保湿黑面膜,,,,2019-12-20 10:02
珊***7,PLUS会员,"<div class=""comment-star star3""></div>",不咋地说真的，效果不咋好，建议大家不要买,2022-04-23 20:41:43.976,美白黑炭面膜10片,,2017-05-31 19:30,,
俎***家,,"<div class=""comment-star star3""></div>",不是太好用，跟原来买的可莱丝的不太一样。,2022-04-23 20:41:44.088,美白黑炭面膜10片,,2017-07-27 17:02,,
1***2,,"<div class=""comment-star star2""></div>",没什么美白效果，一点也没有，,2022-04-23 20:41:44.191,美白黑炭面膜10片,,2017-07-11 13:16,,
****7,,"<div class=""comment-star star2""></div>",扫描了下是真品，就是价格上比扫描出来的贵的多,2022-04-23 20:41:44.322,美白黑炭面膜10片,,2017-11-11 12:45,,
流***i,,"<div class=""comment-star star3""></div>",坑死，昨晚晚上买的，今天就降价了。故意的吧,2022-04-23 20:41:44.894,美白黑炭面膜10片,,2017-07-29 22:54,,
****r,,"<div class=""comment-star star2""></div>",面膜有点干了，没有之前的好用。,2022-04-23 20:41:45.034,美白黑炭面膜10片,,2017-06-11 23:32,,
不***D,,"<div class=""comment-star star3""></div>",包装我不明白怎么回事，首先京东物流速度没得说,2022-04-23 20:41:45.158,美白黑炭面膜10片,,2018-05-22 21:50,,
长***上,,"<div class=""comment-star star2""></div>",两个盒子都是散的，不知道真假，不像一百多一盒的包装,2022-04-23 20:41:45.324,,美白黑炭面膜10片,,2018-05-21 21:50,
k***g,PLUS会员,"<div class=""comment-star star3""></div>",有一点在做用吧，效果不是很好。,2022-04-23 20:41:45.455,,美白黑炭面膜10片,,2017-10-14 19:32,
m***7,,"<div class=""comment-star star3""></div>",京东商城发来的包装盒开了只能勉强接受希望是真货,2022-04-23 20:41:45.574,美白黑炭面膜,,,,2018-11-12 10:39
L***_,PLUS会员,"<div class=""comment-star star2""></div>",包装严重受损。就不能放个小箱子里么。,2022-04-23 20:41:45.728,,美白黑炭面膜10片,,2018-04-26 14:01,
等***冬,PLUS会员,"<div class=""comment-star star3""></div>",刚买来打开，盒子是坏的,2022-04-23 20:41:45.864,,【美白提亮焕肤】美白保湿黑面膜,,2021-01-16 19:33,
木***0,,"<div class=""comment-star star3""></div>",使用感受：不好用，用后感觉脸干干的,2022-04-23 20:41:46.002,【焕白因子】美白保湿黑面膜,,,,2020-03-07 12:13
****?,,"<div class=""comment-star star2""></div>",不好用，没效果，不知道是不是真货。,2022-04-23 20:41:46.138,美白黑炭面膜10片,,2017-05-06 22:46,,
****a,PLUS会员,"<div class=""comment-star star3""></div>",看不出什么效果。也不是很保湿。,2022-04-23 20:41:46.691,美白黑炭面膜,,,,2019-05-03 18:17
****v,,"<div class=""comment-star star3""></div>",打开快递盒，包装是被撕开的，密封胶条也被撕开了！,2022-04-23 20:41:46.807,,美白黑炭面膜10片,,2017-01-14 18:04,
T***丶,PLUS会员,"<div class=""comment-star star3""></div>",感觉效果看不到啊，买了好几次了，难受！,2022-04-23 20:41:46.930,美白黑炭面膜,,,,2018-12-02 09:02
****9,,"<div class=""comment-star star2""></div>",不好用，假货一股洗衣粉味。,2022-04-23 20:41:47.052,,美白黑炭面膜10片,,,
u***u,,"<div class=""comment-star star3""></div>",面膜有点厚，敷着没有其他款舒服,2022-04-23 20:41:47.155,美白黑炭面膜10片,,2017-09-28 10:36,,
周***何,,"<div class=""comment-star star3""></div>",好像效果不大，敷了也有两星期了,2022-04-23 20:41:47.261,美白黑炭面膜10片,,2018-04-09 00:24,,
u***p,,"<div class=""comment-star star3""></div>",买了几天就降价了，好贵，效果觉得一般般,2022-04-23 20:41:47.362,美白黑炭面膜10片,,2017-07-16 09:28,,
c***g,PLUS会员,"<div class=""comment-star star3""></div>",老婆说跟外面买的有点不一样，感觉不是很真,2022-04-23 20:41:47.469,美白黑炭面膜10片,,,,
****v,,"<div class=""comment-star star3""></div>",在京东卖东西这么多年，第一次收到这么不负责任的包装,2022-04-23 20:41:47.578,,美白黑炭面膜10片,,2018-06-05 12:13,
0***_,,"<div class=""comment-star star3""></div>",包装盒损坏不知道是拆过还是途中损坏,2022-04-23 20:41:47.705,透亮黑炭面膜10片,,2016-10-20 17:46,,
纷***泪,PLUS会员,"<div class=""comment-star star3""></div>",盒子都是破的，不知道是不是别人退货的,2022-04-23 20:41:48.283,美白黑炭面膜10片,,2018-06-16 00:59,,
h***0,,"<div class=""comment-star star2""></div>",还没有用，这个产品买过多次，应该不错！,2022-04-23 20:41:48.431,【补水提亮】美白保湿黑面膜,,2020-11-13 13:58,,
u***6,,"<div class=""comment-star star3""></div>",产品质感：极其差，快递送过来，外包装都破了,2022-04-23 20:41:48.561,,【补水提亮】美白保湿黑面膜,,2020-09-12 14:04,
z***0,,"<div class=""comment-star star2""></div>",包装压的不成样子了已经，本来打算送人，只能自用了,2022-04-23 20:41:48.676,美白黑炭面膜10片,,,,
d***a,,"<div class=""comment-star star3""></div>",当初没有想到是韩国的，这次买了就算了，下次不买了,2022-04-23 20:41:48.800,美白黑炭面膜10片,,,,
u***1,,"<div class=""comment-star star3""></div>",拆开快递盒子全是打开的。盒子皱皱巴巴,2022-04-23 20:41:48.922,,【补水提亮】美白保湿黑面膜,,2020-08-25 19:14,
****c,,"<div class=""comment-star star3""></div>",不好用，然后说比一般实体店的贵太多了,2022-04-23 20:41:49.057,【焕白因子】美白保湿黑面膜,,,,2020-05-30 21:01
N***6,,"<div class=""comment-star star3""></div>",效果一般，下次不会再买，不知道是否正品！,2022-04-23 20:41:49.216,美白黑炭面膜10片,,,,
1***9,PLUS会员,"<div class=""comment-star star2""></div>",玛德，让别人给偷走了，没用，祝小偷，这一年都不顺,2022-04-23 20:41:49.334,透亮黑炭面膜10片,,2016-11-11 19:48,,
****c,,"<div class=""comment-star star2""></div>",物流很快，价格变得太快，谨慎够吗，几乎降了一半，坑人,2022-04-23 20:41:49.472,美白黑炭面膜10片,,2017-06-20 12:46,,
****王,,"<div class=""comment-star star3""></div>",京东这价格不得不服。昨天买的128今天就119了。,2022-04-23 20:41:50.056,美白黑炭面膜10片,,2017-05-25 12:14,,
****u,PLUS会员,"<div class=""comment-star star2""></div>",买了三种，不怎么好用，精华也少，,2022-04-23 20:41:50.172,【焕白因子】美白保湿黑炭面膜,,,,2019-10-26 10:27
s***3,,"<div class=""comment-star star3""></div>",没有以前好用，一样改善面膜纸质量,2022-04-23 20:41:50.273,【补水提亮】美白保湿黑面膜,,2020-11-08 09:28,,
****1,,"<div class=""comment-star star3""></div>",*一片，我感觉还不如我买的国产*一片的效果好,2022-04-23 20:41:50.372,美白黑炭面膜10片,,2017-06-10 16:47,,
