用户名,会员,星级,评论,采集时间,类型1,类型2,评论时间1,评论时间2,评论时间3
斐***0,PLUS会员,"<div class=""comment-star star2""></div>",精华比我在店里买的少很多,2022-04-23 20:10:25.364,【弹力紧致】胶原蛋白面膜,,,,2019-11-17 18:12
高***霞,,"<div class=""comment-star star3""></div>",因为做活动就这样吗，盒子都扁了,2022-04-23 20:10:25.426,,【莹润肌肤】胶原蛋白面膜,,,
b***8,,"<div class=""comment-star star3""></div>",不大好用，和以前差远了,2022-04-23 20:10:25.480,【莹润肌肤】胶原蛋白面膜,,,,2020-05-18 15:32
1***的,PLUS会员,"<div class=""comment-star star3""></div>",有一盒外包装烂了，不知道咋回事,2022-04-23 20:10:25.536,【莹润肌肤】胶原蛋白面膜,,,,2020-05-17 07:07
u***w,,"<div class=""comment-star star2""></div>",为什么条码扫不进去，不会买到假货了吧,2022-04-23 20:10:25.590,胶原蛋白面膜10片,,2017-10-17 10:50,,
刘***k,PLUS会员,"<div class=""comment-star star2""></div>",一般般没啥效果不买了,2022-04-23 20:10:25.652,【弹力紧致】胶原蛋白面膜,,,,2019-11-12 11:48
****f,,"<div class=""comment-star star2""></div>",大家来找茬。和图片有些不一样,2022-04-23 20:10:25.713,,胶原蛋白面膜10片,,2016-09-17 08:12,
****k,,"<div class=""comment-star star3""></div>",拿出来一片干布什么情况？,2022-04-23 20:10:25.783,,胶原蛋白面膜,,,
w***o,,"<div class=""comment-star star2""></div>",刚收到，打开发现包装被拆过，表示不满意。,2022-04-23 20:10:26.155,,胶原蛋白面膜10片,,2017-11-15 19:08,
****6,,"<div class=""comment-star star2""></div>",不好是假的，皮肤还么以前好了,2022-04-23 20:10:26.264,胶原蛋白面膜10片,,2018-08-31 07:34,,
l***2,PLUS会员,"<div class=""comment-star star2""></div>",包装竟然是开封的，而且袋子也是破的,2022-04-23 20:10:26.350,胶原蛋白面膜10片,,2017-11-14 18:48,,
****m,,"<div class=""comment-star star3""></div>",用后感觉油腻腻的不太好吸收,2022-04-23 20:10:26.460,胶原蛋白面膜10片,,2017-07-30 17:40,,
*****,PLUS会员,"<div class=""comment-star star3""></div>",感觉用后黏腻不喜欢这种感觉,2022-04-23 20:10:26.565,胶原蛋白面膜10片,,2017-08-15 14:18,,
****e,,"<div class=""comment-star star2""></div>",第一次买这个面膜的，还没用呢,2022-04-23 20:10:26.676,胶原蛋白面膜10片,,2017-11-16 23:39,,
我***麻,,"<div class=""comment-star star3""></div>",包装损坏，快递人员有云柜不放在云柜。,2022-04-23 20:10:26.783,,,,,
****v,,"<div class=""comment-star star2""></div>",这是正品吗？，怎么感觉不好用,2022-04-23 20:10:26.878,胶原蛋白面膜10片,,2017-09-10 23:30,,
****x,,"<div class=""comment-star star2""></div>",面膜有点厚，不是很好用,2022-04-23 20:10:26.974,胶原蛋白面膜,,,,2018-10-11 16:03
****q,,"<div class=""comment-star star3""></div>",盒子坏掉了快递员也不给送上楼,2022-04-23 20:10:27.096,,【弹力紧致】胶原蛋白面膜,,,
Y***C,,"<div class=""comment-star star3""></div>",除了包装不好，其他还行,2022-04-23 20:10:27.495,【提亮紧致】胶原蛋白面膜,,2020-09-04 13:24,,
****d,PLUS会员,"<div class=""comment-star star3""></div>",不是很好用，不知道是不是正品。,2022-04-23 20:10:27.597,,胶原蛋白面膜10片,,2017-11-06 13:48,
****m,,"<div class=""comment-star star3""></div>",比之前的要小一些，质量不稳定啊,2022-04-23 20:10:27.702,胶原蛋白面膜,,,,2019-04-16 09:14
****5,,"<div class=""comment-star star2""></div>",还没用，刚买就降价了，还有赠品,2022-04-23 20:10:27.809,胶原蛋白面膜,,,,2018-11-18 15:11
****f,,"<div class=""comment-star star3""></div>",感觉没有蓝色包装的份量足,2022-04-23 20:10:27.920,【弹力紧致】胶原蛋白面膜,,,,2020-02-14 09:25
H***1,,"<div class=""comment-star star2""></div>",次品包装，，时间很久的样子，，，,2022-04-23 20:10:28.031,,胶原蛋白面膜10片,,2017-08-16 10:24,
****z,,"<div class=""comment-star star2""></div>",少发了一盒面膜也没有人管，客服都联系不到,2022-04-23 20:10:28.155,【弹力紧致】胶原蛋白面膜,,,,2019-11-13 09:50
s***4,PLUS会员,"<div class=""comment-star star2""></div>",使用感受：黏黏的，不知道什么鬼,2022-04-23 20:10:28.266,胶原蛋白面膜,,,,2019-09-23 00:22
****C,,"<div class=""comment-star star2""></div>",还是继续抵制韩货吧、上当的感觉,2022-04-23 20:10:28.400,胶原蛋白面膜10片,,2017-08-08 14:23,,
****q,PLUS会员,"<div class=""comment-star star2""></div>",买回来这个样子让我感觉我买了两盒地摊货,2022-04-23 20:10:28.529,,胶原蛋白面膜,,,
****M,,"<div class=""comment-star star2""></div>",买了已经用几次了，感觉一般般吧,2022-04-23 20:10:28.947,胶原蛋白面膜10片,,2017-10-05 21:21,,
u***b,,"<div class=""comment-star star2""></div>",不知道好不好，用了在评论,2022-04-23 20:10:29.046,胶原蛋白面膜10片,,2017-06-16 14:22,,
u***c,PLUS会员,"<div class=""comment-star star3""></div>",面膜一般般吧！不是很好用,2022-04-23 20:10:29.130,胶原蛋白面膜10片,,2017-11-09 09:05,,
m***4,,"<div class=""comment-star star3""></div>",效果一般，只能一般补水.....,2022-04-23 20:10:29.266,【提亮紧致】胶原蛋白面膜,,2020-06-12 11:54,,
阿***宝,,"<div class=""comment-star star2""></div>",没买几天就秒杀了，不是很亏吗，讨厌,2022-04-23 20:10:29.358,胶原蛋白面膜10片,,2017-08-19 15:56,,
q***D,,"<div class=""comment-star star2""></div>",外包装居然是坏，感觉被换了内件,2022-04-23 20:10:29.470,,胶原蛋白面膜10片,,2018-05-24 19:52,
****a,,"<div class=""comment-star star2""></div>",感觉不是很好，不是很服帖,2022-04-23 20:10:29.555,胶原蛋白面膜,,,,2019-09-12 18:30
俞***颖,PLUS会员,"<div class=""comment-star star2""></div>",没什么精华，面膜纸比较干,2022-04-23 20:10:29.646,胶原蛋白面膜,,,,2019-09-25 05:59
d***7,,"<div class=""comment-star star3""></div>",第一次在网上买面膜，感觉怪怪的?,2022-04-23 20:10:29.739,胶原蛋白面膜10片,,2018-05-18 11:08,,
田***辰,,"<div class=""comment-star star3""></div>",不知道是不是正品，和在实体店买的条码不一样,2022-04-23 20:10:29.857,胶原蛋白面膜10片,,2018-07-02 15:24,,
****r,,"<div class=""comment-star star3""></div>",扫码出来什么没有怀疑买到假货,2022-04-23 20:10:30.277,胶原蛋白面膜10片,,2017-11-07 15:56,,
青***5,,"<div class=""comment-star star3""></div>",袋子里面残留的精华液稍微有点多,2022-04-23 20:10:30.390,胶原蛋白面膜10片,,2018-04-27 15:53,,
d***4,,"<div class=""comment-star star2""></div>",商品其次，外包装已破的不像样子,2022-04-23 20:10:30.503,,胶原蛋白紧致面膜25ml*10,,2016-05-25 14:13,
奔***0,PLUS会员,"<div class=""comment-star star3""></div>",效果一般般，你们看着办。,2022-04-23 20:10:30.609,胶原蛋白面膜10片,,2018-01-01 11:26,,
杨***1,,"<div class=""comment-star star2""></div>",买了三盒只有黄色的包装没坏其他的开过,2022-04-23 20:10:30.715,,胶原蛋白面膜10片,,2018-04-30 13:57,
****u,,"<div class=""comment-star star3""></div>",这就这么不值钱吗？你看看包装的,2022-04-23 20:10:30.831,,【提亮紧致】胶原蛋白面膜,,2020-11-12 08:16,
****7,,"<div class=""comment-star star3""></div>",感觉不是正品，扫2维码都扫不出来,2022-04-23 20:10:30.952,【提亮紧致】胶原蛋白面膜,,2020-08-27 23:14,,
h***t,PLUS会员,"<div class=""comment-star star3""></div>",用了没什么特别的感觉,2022-04-23 20:10:31.072,【提亮紧致】胶原蛋白面膜,,2020-08-01 10:35,,
****u,PLUS会员,"<div class=""comment-star star3""></div>",一般吧感觉，不知道是不是正品。。。。,2022-04-23 20:10:31.192,胶原蛋白面膜,,,,2019-05-25 11:14
g***f,,"<div class=""comment-star star2""></div>",不适合自己！对于个人来说效果不好！,2022-04-23 20:10:31.329,胶原蛋白面膜10片,,2016-11-11 15:21,,
阿***0,PLUS会员,"<div class=""comment-star star2""></div>",不太好用，太小。质量也不怎么好。不推荐,2022-04-23 20:10:31.746,胶原蛋白面膜10片,,2017-09-16 16:28,,
****d,,"<div class=""comment-star star3""></div>",感觉面膜太干了，是不是时长有点长了,2022-04-23 20:10:31.845,【弹力紧致】胶原蛋白面膜,,,,2019-12-12 16:26
****r,,"<div class=""comment-star star3""></div>",不太好用，没有补水那款好用,2022-04-23 20:10:31.959,胶原蛋白面膜,,,,2019-07-02 15:01
****i,PLUS会员,"<div class=""comment-star star3""></div>",媳妇说不好，营养液少有点干,2022-04-23 20:10:32.053,【弹力紧致】胶原蛋白面膜,,,,2019-11-14 22:36
啊***袋,,"<div class=""comment-star star3""></div>",过敏不知道为什么盒子也都是坏的,2022-04-23 20:10:32.153,胶原蛋白面膜,,,,2018-12-02 15:39
深***密,,"<div class=""comment-star star2""></div>",感觉没有之前买精华液那么多，，，，，,2022-04-23 20:10:32.254,【弹力紧致】胶原蛋白面膜,,,,2019-11-11 11:17
霞***一,,"<div class=""comment-star star3""></div>",是正品吗，感觉和以前用过的不一样,2022-04-23 20:10:32.344,,胶原蛋白面膜10片,,2017-05-11 21:55,
小***吖,PLUS会员,"<div class=""comment-star star3""></div>",贴合效果不太好，希望能有所改进~,2022-04-23 20:10:32.433,【莹润肌肤】胶原蛋白面膜,,,,2020-05-16 07:38
c***c,,"<div class=""comment-star star3""></div>",包装都是散的。京东包装怎么这么**啊……,2022-04-23 20:10:32.539,胶原蛋白面膜10片,,2017-11-06 18:59,,
****u,,"<div class=""comment-star star3""></div>",就是精华液没有蓝色的多,2022-04-23 20:10:32.656,【提亮紧致】胶原蛋白面膜,,2020-12-01 14:05,,
马***子,,"<div class=""comment-star star2""></div>",不好用，一股臭味，感觉假的。,2022-04-23 20:10:33.076,胶原蛋白面膜10片,,2016-11-30 10:04,,
y***0,,"<div class=""comment-star star3""></div>",活动的时候屯了好几盒，但有真有假。,2022-04-23 20:10:33.176,,【提亮紧致】胶原蛋白面膜,,2020-11-17 13:39,
傻***亲,PLUS会员,"<div class=""comment-star star2""></div>",不够水润贴完效果不明显,2022-04-23 20:10:33.300,【弹力紧致】胶原蛋白面膜,,,,2019-12-24 23:03
孙***2,PLUS会员,"<div class=""comment-star star2""></div>",有明显开封痕迹。不知为何。,2022-04-23 20:10:33.407,,胶原蛋白面膜,,,
u***e,,"<div class=""comment-star star3""></div>",不回你的消息，不是我高冷，而是手冷,2022-04-23 20:10:33.518,【弹力紧致】胶原蛋白面膜,,,,2020-01-11 21:03
_***w,PLUS会员,"<div class=""comment-star star3""></div>",一般般吧，用了一片就扯了，,2022-04-23 20:10:33.635,【提亮紧致】胶原蛋白面膜,,2020-07-22 22:12,,
****c,,"<div class=""comment-star star3""></div>",面膜贴到脸上以后贴不住！,2022-04-23 20:10:33.741,【提亮紧致】胶原蛋白面膜,,2020-08-06 10:52,,
****s,,"<div class=""comment-star star2""></div>",物流挺快的，可是怎么到我手里包装是被打开的,2022-04-23 20:10:33.867,,胶原蛋白面膜,,,
芯***h,PLUS会员,"<div class=""comment-star star3""></div>",一直都在用的产品，只是这次收到的包装裂开了,2022-04-23 20:10:33.980,胶原蛋白面膜,,,,2019-05-21 12:15
闫***R,,"<div class=""comment-star star3""></div>",使用之后比较油，似乎不好吸收,2022-04-23 20:10:34.163,胶原蛋白面膜10片,,2016-09-16 15:29,,
y***3,PLUS会员,"<div class=""comment-star star3""></div>",感觉跟之前的不一样，面膜很厚,2022-04-23 20:10:34.643,胶原蛋白面膜10片,,2017-07-14 21:55,,
u***w,,"<div class=""comment-star star3""></div>",没蓝色的好用，贴着脸痒不舒服,2022-04-23 20:10:34.775,胶原蛋白面膜10片,,2017-12-05 10:20,,
u***x,,"<div class=""comment-star star2""></div>",扫不出码……验证不了真假,2022-04-23 20:10:34.857,胶原蛋白面膜10片,,2017-06-13 23:40,,
c***3,,"<div class=""comment-star star3""></div>",也不懂是不是正品。但是收到的时候盒子是开的。。,2022-04-23 20:10:34.953,胶原蛋白面膜10片,,2017-08-01 23:40,,
喵***0,,"<div class=""comment-star star2""></div>",说实话我觉得是假货跟我在屈臣氏买的不一样,2022-04-23 20:10:35.043,【弹力紧致】胶原蛋白面膜,,,,2020-03-01 22:46
****l,,"<div class=""comment-star star2""></div>",精华很少感觉敷在脸上就干了,2022-04-23 20:10:35.157,【弹力紧致】胶原蛋白面膜,,,,2019-11-18 22:24
s***c,,"<div class=""comment-star star2""></div>",一份价钱一份货以后不能在网上买还是实体店买,2022-04-23 20:10:35.254,胶原蛋白面膜10片,,2017-12-12 08:42,,
****?,,"<div class=""comment-star star2""></div>",不好用不合脸水太多流的到处都是,2022-04-23 20:10:35.344,胶原蛋白面膜10片,,2017-11-13 22:00,,
S***c,PLUS会员,"<div class=""comment-star star2""></div>",面膜效果一般，快递比较不错,2022-04-23 20:10:35.439,【提亮紧致】胶原蛋白面膜,,2020-07-21 11:45,,
****k,PLUS会员,"<div class=""comment-star star3""></div>",不好用面膜很干而且厚,2022-04-23 20:10:35.549,胶原蛋白面膜10片,,2016-10-06 11:00,,
懒***5,PLUS会员,"<div class=""comment-star star3""></div>",补水效果一般，不是很喜欢,2022-04-23 20:10:35.938,【弹力紧致】胶原蛋白面膜,,,,2020-03-21 20:11
****3,,"<div class=""comment-star star3""></div>",这样确定不是别人打开过的？看着怪难受的,2022-04-23 20:10:36.041,,胶原蛋白面膜,,,
****B,PLUS会员,"<div class=""comment-star star3""></div>",东西怎么样不知道，包装反正是不怎么样,2022-04-23 20:10:36.164,,【提亮紧致】胶原蛋白面膜,,2020-11-12 17:44,
冷***3,,"<div class=""comment-star star3""></div>",没想象的好，用了没什么感觉,2022-04-23 20:10:36.267,【莹润肌肤】胶原蛋白面膜,,,,2020-04-26 15:57
u***4,,"<div class=""comment-star star2""></div>",味道不好闻，不知是不是过期了？,2022-04-23 20:10:36.373,【提亮紧致】胶原蛋白面膜,,2020-12-02 22:41,,
****7,PLUS会员,"<div class=""comment-star star2""></div>",一直都在用这个牌子，补水效果不是很好,2022-04-23 20:10:36.489,胶原蛋白面膜10片,,2017-12-05 21:12,,
f***m,,"<div class=""comment-star star2""></div>",看着还可以，不知道用着怎么样,2022-04-23 20:10:36.604,胶原蛋白面膜10片,,2018-05-09 11:13,,
蛋***姐,PLUS会员,"<div class=""comment-star star3""></div>",我妈妈用了一片，脸有点发红，我还没有试过。,2022-04-23 20:10:36.716,胶原蛋白面膜10片,,2018-05-20 11:40,,
1***1,PLUS会员,"<div class=""comment-star star3""></div>",就那样吧，用着没什么效果，不知道怎么回事,2022-04-23 20:10:36.838,胶原蛋白面膜10片,,2017-10-31 21:38,,
1***p,,"<div class=""comment-star star3""></div>",面膜裁剪不好，其他还没看出效果,2022-04-23 20:10:36.994,胶原蛋白面膜10片,,2017-07-03 07:46,,
天***了,PLUS会员,"<div class=""comment-star star3""></div>",用了一片，没啥特别的感觉，应该不会回购了,2022-04-23 20:10:37.510,胶原蛋白面膜10片,,2018-08-02 23:07,,
郭***珍,,"<div class=""comment-star star3""></div>",据说不是正品，让我大吃一惊。不敢相信自营店也不是真的。,2022-04-23 20:10:37.606,胶原蛋白紧致面膜25ml*10,,2016-06-02 10:42,,
P***Z,,"<div class=""comment-star star3""></div>",买了四盒，有一盒已经开封了,2022-04-23 20:10:37.694,【盈润光滑弹嫩】胶原蛋白面膜,,2021-01-05 10:14,,
****m,,"<div class=""comment-star star3""></div>",这个盒子条码跟里面的条码是不一样的，会是正品吗,2022-04-23 20:10:37.798,,胶原蛋白面膜10片,,2018-09-06 15:13,
****k,,"<div class=""comment-star star3""></div>",跟之前用的感觉不太一样，感觉不是正品,2022-04-23 20:10:37.885,胶原蛋白面膜10片,,2016-09-30 09:31,,
u***b,,"<div class=""comment-star star2""></div>",感觉和以前的效果不一样不好用,2022-04-23 20:10:37.981,胶原蛋白面膜,,,,2019-06-19 20:36
果***6,,"<div class=""comment-star star3""></div>",用了比较补水，睡一晚上就不行了,2022-04-23 20:10:38.075,胶原蛋白面膜,,,,2019-08-17 12:11
****a,,"<div class=""comment-star star3""></div>",补水效果：一般，不怎么帖肤，,2022-04-23 20:10:38.167,【提亮紧致】胶原蛋白面膜,,2020-11-12 23:35,,
u***2,,"<div class=""comment-star star2""></div>",随便拿个袋子装！挤成这样！送人的我还拿得出手吗？？,2022-04-23 20:10:38.260,胶原蛋白面膜10片,,2017-07-21 15:48,,
第***第,PLUS会员,"<div class=""comment-star star3""></div>",还没有。包装不行。就一个袋子，也不用盒子装。,2022-04-23 20:10:38.365,,【弹力紧致】胶原蛋白面膜,,,
紫***罗,,"<div class=""comment-star star3""></div>",包装不敢恭维，烂成这样心里真的不舒服,2022-04-23 20:10:38.828,,胶原蛋白面膜10片,,2018-08-14 10:54,
u***z,,"<div class=""comment-star star3""></div>",没有第一次买的效果好，感觉没那么多精华。,2022-04-23 20:10:38.932,胶原蛋白面膜10片,,2018-09-18 17:55,,
****v,,"<div class=""comment-star star3""></div>",右边是香港买的，包装不一样，用过才知道是不是正品,2022-04-23 20:10:39.061,,胶原蛋白面膜10片,,2017-10-16 13:33,
u***s,,"<div class=""comment-star star3""></div>",第一次京东买面膜，看包装盒有点失落了,2022-04-23 20:10:39.178,,【提亮紧致】胶原蛋白面膜,,2020-06-19 12:38,
l***5,,"<div class=""comment-star star2""></div>",到的时候这样了，都是开封的～～请问这个是正品吗？好担心！,2022-04-23 20:10:39.290,,胶原蛋白面膜,,,
S***8,PLUS会员,"<div class=""comment-star star3""></div>",包装盒子都没有密封好，。。。不想退换了，疫情期间，算了,2022-04-23 20:10:39.408,,【弹力紧致】胶原蛋白面膜,,,
u***p,,"<div class=""comment-star star3""></div>",不知道真假，和上一次买的味道不一样，活动买，就发不一样的？,2022-04-23 20:10:39.520,胶原蛋白面膜10片,,2018-01-26 15:33,,
****9,,"<div class=""comment-star star3""></div>",很一般，精华不多，面膜有点干,2022-04-23 20:10:39.637,胶原蛋白面膜,,,,2019-06-17 20:38
****g,,"<div class=""comment-star star2""></div>",敷在脸上小了一点效果不怎么样,2022-04-23 20:10:39.757,胶原蛋白面膜10片,,2017-10-31 14:15,,
c***下,PLUS会员,"<div class=""comment-star star3""></div>",冬天使用的时候比较冰！效果一般！,2022-04-23 20:10:39.964,胶原蛋白面膜,,,,2019-01-05 18:40
B***-,PLUS会员,"<div class=""comment-star star3""></div>",用着没有不良反应，就是精华少～,2022-04-23 20:10:40.394,胶原蛋白面膜,,,,2019-06-08 12:33
****o,PLUS会员,"<div class=""comment-star star2""></div>",粗糙，精华少，跟之前买的不一样,2022-04-23 20:10:40.493,【莹润肌肤】胶原蛋白面膜,,,,2020-05-25 14:25
u***o,,"<div class=""comment-star star3""></div>",不好用，没水分，下次不买了,2022-04-23 20:10:40.581,【盈润光滑弹嫩】胶原蛋白面膜,,2020-12-19 22:38,,
z***3,PLUS会员,"<div class=""comment-star star3""></div>",不确定是不是正品，同时买几盒发现制造厂家不一样。,2022-04-23 20:10:40.677,,胶原蛋白面膜,,,
z***z,PLUS会员,"<div class=""comment-star star3""></div>",包装都是破的，买三盒坏三盒，京东啥时候这么不上心了,2022-04-23 20:10:40.785,胶原蛋白面膜10片,,2018-04-01 21:38,,
j***l,PLUS会员,"<div class=""comment-star star2""></div>",被拆开过，不知道东西有没有被动过…,2022-04-23 20:10:40.877,胶原蛋白面膜10片,,,,
****8,,"<div class=""comment-star star2""></div>",包装都破了，不知道是不是真的，还没有使用,2022-04-23 20:10:40.980,胶原蛋白紧致面膜25ml*10,,2016-06-22 07:50,,
有***4,PLUS会员,"<div class=""comment-star star3""></div>",一天敷一次肯定会过敏，我才敷了两天过敏了,2022-04-23 20:10:41.073,【弹力紧致】胶原蛋白面膜,,,,2019-11-02 17:10
l***9,,"<div class=""comment-star star2""></div>",包装不完整！！为什么会有被拆开的痕迹？！！,2022-04-23 20:10:41.173,,胶原蛋白面膜10片,,2017-11-15 11:39,
u***f,,"<div class=""comment-star star2""></div>",用了一片才来评论的，感觉不是很好,2022-04-23 20:10:41.279,胶原蛋白面膜10片,,2017-11-12 08:34,,
****l,PLUS会员,"<div class=""comment-star star3""></div>",黏黏腻腻，感觉皮肤吸收不是特别好,2022-04-23 20:10:41.671,胶原蛋白面膜10片,,2017-11-21 20:05,,
u***5,,"<div class=""comment-star star2""></div>",感觉确实不怎么样，用了没什么效果,2022-04-23 20:10:41.779,胶原蛋白面膜10片,,2017-12-06 13:43,,
李***3,,"<div class=""comment-star star3""></div>",小包装底部有破损几乎撕裂开了不知道是摔过还是被拆开过,2022-04-23 20:10:41.894,胶原蛋白面膜10片,,2017-11-10 12:47,,
丫***u,PLUS会员,"<div class=""comment-star star3""></div>",一般，感觉不太好用，水不多,2022-04-23 20:10:42.018,【提亮紧致】胶原蛋白面膜,,2020-12-07 10:22,,
****1,PLUS会员,"<div class=""comment-star star3""></div>",这是一次不舒服的购物体验，第一次买到被拆封了包装的产品,2022-04-23 20:10:42.129,,胶原蛋白面膜10片,,2018-02-23 11:54,
1***p,PLUS会员,"<div class=""comment-star star3""></div>",面膜居然有字的痕迹，材质一般,2022-04-23 20:10:42.238,【弹力紧致】胶原蛋白面膜,,,,2019-12-25 18:40
****g,PLUS会员,"<div class=""comment-star star3""></div>",一包是打开的，一包是封住的，不知道是不是正品,2022-04-23 20:10:42.353,,【提亮紧致】胶原蛋白面膜,,2020-11-02 09:27,
u***o,,"<div class=""comment-star star3""></div>",不怎么好！只能这么说！并没有多补水！,2022-04-23 20:10:42.467,胶原蛋白面膜10片,,,,
****j,PLUS会员,"<div class=""comment-star star3""></div>",东西没有原来的好，敷上去皮肤过敏.,2022-04-23 20:10:42.609,胶原蛋白面膜,,,,2019-04-25 10:56
十***机,PLUS会员,"<div class=""comment-star star3""></div>",补水功能薄弱产品很一般,2022-04-23 20:10:42.742,【盈润光滑弹嫩】胶原蛋白面膜,,2021-01-09 15:29,,
****p,PLUS会员,"<div class=""comment-star star3""></div>",早上用了一片，就是感觉里面的精华液太少了,2022-04-23 20:10:43.187,【弹力紧致】胶原蛋白面膜,,,,2019-12-13 06:25
****F,PLUS会员,"<div class=""comment-star star3""></div>",这次买的做工不一样质量要差一些不知道真假,2022-04-23 20:10:43.282,【提亮紧致】胶原蛋白面膜,,2020-11-23 18:50,,
1***1,PLUS会员,"<div class=""comment-star star3""></div>",一般不知道我脸小还是怎样就是不能全铺满,2022-04-23 20:10:43.368,胶原蛋白面膜10片,,2017-05-15 16:22,,
****9,PLUS会员,"<div class=""comment-star star3""></div>",“套装勿拆”！收到是这样，居然被拆了,2022-04-23 20:10:43.453,,胶原蛋白面膜10片,,2017-12-18 13:45,
****y,PLUS会员,"<div class=""comment-star star3""></div>",我只能说补水效果一般。没有让我看到惊喜,2022-04-23 20:10:43.549,【弹力紧致】胶原蛋白面膜,,,,2020-01-05 19:04
****4,,"<div class=""comment-star star3""></div>",个人觉得补水效果不好不太满意,2022-04-23 20:10:43.638,胶原蛋白面膜,,,,2019-03-21 07:11
****0,PLUS会员,"<div class=""comment-star star3""></div>",这个不行，效果比较差，不如补水,2022-04-23 20:10:43.728,胶原蛋白面膜,,,,2019-10-18 04:30
z***g,PLUS会员,"<div class=""comment-star star3""></div>",不好用，面膜跟脸部不适合，太垮了,2022-04-23 20:10:43.844,【弹力紧致】胶原蛋白面膜,,,,2020-04-07 16:44
u***7,,"<div class=""comment-star star2""></div>",和我在店里买的不是一个厂家生产的，扫码扫不出来，这是为什么？,2022-04-23 20:10:43.956,胶原蛋白面膜10片,,2017-06-09 17:49,,
****K,PLUS会员,"<div class=""comment-star star3""></div>",包装怎么没有封口，拿回来的时候盒子还是开着的,2022-04-23 20:10:44.058,,【提亮紧致】胶原蛋白面膜,,2020-08-27 19:59,
j***1,,"<div class=""comment-star star2""></div>",不知道是不是正品，内包装和外盒条码不一样，还扫描不到,2022-04-23 20:10:44.442,胶原蛋白面膜10片,,2017-11-15 13:57,,
****e,PLUS会员,"<div class=""comment-star star2""></div>",怎么看不到生产日期，只看到了保质期，不知道是什么时候生产的,2022-04-23 20:10:44.551,胶原蛋白面膜,,,,2019-06-22 12:31
u***p,PLUS会员,"<div class=""comment-star star3""></div>",一般吧！感觉里面的精华不多，有点干。,2022-04-23 20:10:44.667,胶原蛋白面膜,,,,2019-05-15 14:27
****好,,"<div class=""comment-star star3""></div>",还没用，但是收到货后发现面膜外盒有很大破损。,2022-04-23 20:10:44.791,,胶原蛋白面膜,,,
j***7,,"<div class=""comment-star star2""></div>",不好用，里面都是干的，水少,2022-04-23 20:10:44.927,【弹力紧致】胶原蛋白面膜,,,,2020-02-03 20:14
雪***b,,"<div class=""comment-star star3""></div>",面膜背面底部的钢印有粗有细的，不知道真假。,2022-04-23 20:10:45.038,胶原蛋白面膜,,,,2018-11-04 22:52
J***e,,"<div class=""comment-star star3""></div>",不怎么样，跟韩国带来的质感不一样,2022-04-23 20:10:45.151,胶原蛋白面膜10片,,,,
水***7,PLUS会员,"<div class=""comment-star star2""></div>",和我以前买的不一样，扫码显示商品未录入，还是我信赖的京东吗?,2022-04-23 20:10:45.262,胶原蛋白面膜10片,,2017-05-03 06:42,,
李***铺,,"<div class=""comment-star star2""></div>",打开就是这样的等用用看啥效果吧,2022-04-23 20:10:45.381,,胶原蛋白面膜,,,
睿***妈,,"<div class=""comment-star star3""></div>",效果一般般吧…用了感觉没啥,2022-04-23 20:10:45.514,胶原蛋白面膜,,,,2018-10-28 20:13
u***z,PLUS会员,"<div class=""comment-star star3""></div>",第二次用，将个就吧，不过下次不会买了，效果不行,2022-04-23 20:10:46.018,胶原蛋白面膜10片,,2018-05-27 07:23,,
爵***暮,PLUS会员,"<div class=""comment-star star3""></div>",这款感觉没有其他的有效果,2022-04-23 20:10:46.115,【盈润光滑弹嫩】胶原蛋白面膜,,2021-03-09 11:45,,
阿***猫,PLUS会员,"<div class=""comment-star star2""></div>",收到后都成这样子了，还没有使用不知效果如何。,2022-04-23 20:10:46.202,,胶原蛋白面膜10片,,2017-07-23 11:46,
b***3,PLUS会员,"<div class=""comment-star star2""></div>",连续用，皮肤长痘了！我皮肤本来没有痘,2022-04-23 20:10:46.294,胶原蛋白面膜10片,,2017-09-06 21:24,,
****m,PLUS会员,"<div class=""comment-star star3""></div>",感觉效果不是特别好，跟我以前用的有那么点差距,2022-04-23 20:10:46.380,胶原蛋白面膜,,,,2019-07-29 17:23
不***呦,PLUS会员,"<div class=""comment-star star3""></div>",仓库包装人员几个意思？为什么要把包装打开呢？,2022-04-23 20:10:46.482,,【提亮紧致】胶原蛋白面膜,,2020-10-20 08:59,
c***g,,"<div class=""comment-star star2""></div>",水分特少，敷上没两分钟就干了,2022-04-23 20:10:46.578,胶原蛋白面膜10片,,2016-11-11 19:57,,
扎***姆,,"<div class=""comment-star star3""></div>",不是以前买的那种，面膜比以前大，不服帖,2022-04-23 20:10:46.667,胶原蛋白面膜,,,,2019-02-26 22:21
R***O,,"<div class=""comment-star star3""></div>",第一次买，感觉也就那样吧，不知道是不是正品！,2022-04-23 20:10:46.784,胶原蛋白面膜10片,,2016-12-26 07:03,,
就***5,PLUS会员,"<div class=""comment-star star3""></div>",一般般，一般般，不服帖，一般般吧！,2022-04-23 20:10:46.894,【光滑弹嫩】胶原蛋白面膜,,2021-03-19 12:41,,
枫***雪,,"<div class=""comment-star star2""></div>",用了以后才来评价，比较厚，不容易吸收,2022-04-23 20:10:47.344,胶原蛋白面膜10片,,2017-08-27 12:34,,
****5,,"<div class=""comment-star star3""></div>",不知道为什么，打开包装袋，里面的盒子都打开了,2022-04-23 20:10:47.460,,胶原蛋白面膜,,,
