用户名,会员,星级,评论,类型1,类型2,评论时间1,评论时间2,采集时间,评论时间3
u***z,PLUS会员,"<div class=""comment-star star5""></div>",贴合效果：非常非常贴合适合肤质：任何肤质非常好值得购买,茶树面膜,,,,2022-04-24 11:26:54.629,2019-09-09 21:55
s***u,,"<div class=""comment-star star5""></div>",控油又很清爽，这个面膜很适合油性皮肤。控油又很清爽，这个面膜很适合油性皮肤控油又很清爽，这个面膜很适合油性皮肤控油又很清爽，产品质感：很好的设计包装，人性化的抽取式外盒设计，方便您随时抽取面膜使用。使用感受：非常的清爽，还有舒缓的效果，茶树控油的效果很好，如果是夏天就多屯它几盒。适合肤质：中性偏油或者油性皮肤，干性皮肤的美眉们就别使用了。其他特色：补水效果也是不错的贴合效果：面膜很轻薄贴合效果很好，非常贴皮肤补水效果：补水效果杠杠滴，干燥的冬天大家都敷起面膜来。,,【缓解痘痘】茶树面膜,,,2022-04-24 11:26:54.681,
****b,PLUS会员,"<div class=""comment-star star5""></div>",京东自营店购买的面膜很快就到了，快递非常快！一直是使用这款美迪惠尔茶树面膜，我是一个喜欢熬夜的人，脸又油还爱长痘，睡前敷一片有镇定肌肤的作用，痘痘就长的少了！推荐长痘的人使用！,,【镇定肌肤】茶树面膜,,2020-10-28 13:25,2022-04-24 11:26:55.087,
1***p,PLUS会员,"<div class=""comment-star star5""></div>",物流很快，这款面膜性价比很高，这回活动有优惠就下单了。家里开暖气太干燥了，每天敷一片面膜超舒服，买了三种，换着用。使用感受：水润清爽适合肤质：油皮补水效果：还可以,,【镇定舒缓】茶树面膜,,2021-12-22 21:16,2022-04-24 11:26:55.148,
****b,,"<div class=""comment-star star5""></div>",春节期间物流速度很快！第二天就收到货了，用后追评,【调理水油平衡】茶树面膜,,2021-02-15 18:31,,2022-04-24 11:26:55.219,
霞***7,PLUS会员,"<div class=""comment-star star5""></div>",绿茶系列舒缓痘痘维稳效果挺好的，长痘痘期间用效果还是很不错的，精华也挺多，,,【调理水油平衡】茶树面膜,,2021-02-02 15:22,2022-04-24 11:26:55.292,
何***D,PLUS会员,"<div class=""comment-star star5""></div>",一下子买了四种不同的面膜，这盒茶树面膜还没用，不过看起来还不错。之前用过美迪惠尔胶原蛋白的，也就是这个黄的，觉得很不错，敷完脸上水水嫩嫩的，润润滑滑的，所以想试试其他种类来着，价格方面很实惠，有活动还会再入手一些囤着，先好评再说！,,【缓解痘痘】茶树面膜,,,2022-04-24 11:26:55.349,
畅***夜,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：面膜质感服帖，好用，我是长痘痘的时候买的，泛红过敏两次就下去了，一直用的都是蓝色补水的，这次刚好是京东有活动，160三盒，很划算，可以用一个月。下次还会回购的。适合肤质：个人觉得所有肤质都可以，补水效果：补水一般，但是过敏修复不错,,【缓解痘痘】茶树面膜,,,2022-04-24 11:26:55.396,
威***方,PLUS会员,"<div class=""comment-star star5""></div>",产品质量不错，搞活动买非常划算。用起来也很滋润。每天用一片，也不心疼。搞活动买还是很不错的。京东物流很棒送货到家。。。。。,,【水油平衡】茶树面膜,,2021-09-15 17:02,2022-04-24 11:26:55.446,
阿***堕,,"<div class=""comment-star star5""></div>",熬夜皮肤状态不好的时候，然后用上一张连续用上两天皮肤状态就恢复了。家里常备面膜。喜爱。对于敏感性，皮肤来说是非常实用的，可以快速达到消炎。补水的一个状态。,【镇定舒缓】茶树面膜,,2021-11-05 17:50,,2022-04-24 11:26:55.498,
s***6,PLUS会员,"<div class=""comment-star star5""></div>",这面膜真心不错，敷完皮肤很滋润，很舒服，用完之后皮肤很光滑。味道也很好闻，感觉到了舒缓的感觉，关键是价格非常美丽，爱了爱了,,【水油平衡】茶树面膜,,2021-08-14 00:11,2022-04-24 11:26:55.556,
G***7,,"<div class=""comment-star star5""></div>",产品质感：好用虽然精华不多但是刚好够用一次，油皮很??使用感受：舒服补水效果好韩国销量前三的面膜果然好用！适合有痘肌，双十二活动真的太便宜了平均一片只要三块多，这价格要啥自行车！买就完事，经常敷不心疼,,【调理水油平衡】茶树面膜,,2020-12-16 09:50,2022-04-24 11:26:55.613,
之***心,PLUS会员,"<div class=""comment-star star5""></div>",是正品，真正的评价面膜，特别好用，我用着很舒服，不会过敏，补水保湿效果很好，一次买了四盒，够用一段时间了，用完了再来回购。,,【水油平衡】茶树面膜,,2021-09-13 07:51,2022-04-24 11:26:56.015,
u***c,PLUS会员,"<div class=""comment-star star5""></div>",压力大，经常起痘痘，贴这个感觉能舒缓一些，精华超级多，味道闻着也让人舒缓。,,【调理水油平衡】茶树面膜,,2021-01-06 07:25,2022-04-24 11:26:56.077,
猴***e,PLUS会员,"<div class=""comment-star star5""></div>",快递非常快，隔天就到了，一直买的，都用了好久才来评价确实非常好用，乳液的量很足，用好后脸上非常舒服，很润，滑滑的，特别好，,,【水油平衡】茶树面膜,,2021-10-08 22:36,2022-04-24 11:26:56.128,
l***7,PLUS会员,"<div class=""comment-star star5""></div>",每次要长痘就会连着敷好几天，再配合用祛痘的湿敷，痘痘会在一个礼拜消掉，效果不错，一直在用，又便宜又实惠。很喜欢买，每次都囤货很多盒，效果不错，我是经常上火就会长痘痘的人。所以推荐大家可以尝试着连敷几天，做好清洁,,【镇定肌肤】茶树面膜,,2020-07-18 21:30,2022-04-24 11:26:56.169,
尼***宇,PLUS会员,"<div class=""comment-star star5""></div>",油茶树精油的味道，适合敏感大油田，洗完脸等脸干了再敷面膜，效果最好，最可靠的是京东自营，别的渠道还真担心。推荐男士使用！,,【调理水油平衡】茶树面膜,,2020-12-20 22:01,2022-04-24 11:26:56.212,
****x,PLUS会员,"<div class=""comment-star star5""></div>",使用感受：对痘痘是否有抑制作用尚不可知适合肤质：我是偏干性的皮肤，脸颊红鼻翼有血丝，天天用也没见过敏补水效果：个人感觉还不错，用完脸摸上去很水嫩贴合效果：当时就是看中她的可莱丝面膜薄才买的，（当然还有BTS的广告效应）面膜非常薄，贴合度一级棒,,【缓解痘痘】茶树面膜,,,2022-04-24 11:26:56.270,
墨***o,PLUS会员,"<div class=""comment-star star5""></div>",活动买的，很划算，敷完水水的，我的皮肤属于敏感肌，用了也没有过敏，一直用这个牌子的，京东物流也快，上午拍，下午就到了，满意,,茶树面膜,,,2022-04-24 11:26:56.315,
****t,PLUS会员,"<div class=""comment-star star5""></div>",已经不记得第几次买这款面膜了，这家的也不知道是第几次购买。用着一点都不油腻，乳液含量也超多，而且保湿效果很好。一般我会一周用一到两次都够了，因为上班骑电动车，风很大，皮肤很容易吹干，所以要经常敷面膜。真心不错的一款面膜，第一次用是表姐推荐我的，真的很好，我也推荐给了我同事买。,,【镇定肌肤】茶树面膜,,2020-11-21 18:58,2022-04-24 11:26:56.356,
Z***R,,"<div class=""comment-star star5""></div>",和之前在韩国买的一样，挺好用的，舒缓肌肤，痘痘改善了很多，男生用着也很好，夏天用也不油腻，四盒四折的活动也还可以，总体不错,,【水油平衡】茶树面膜,,2021-07-18 20:27,2022-04-24 11:26:56.399,
z***9,PLUS会员,"<div class=""comment-star star5""></div>",趁着双12来了，正好家里面膜没有了，给自己和老妈囤一点。之前用过美迪惠尔蓝色的保湿面膜和黄色的骨胶原面膜，用下来感觉保湿效果非常好，用完皮肤嫩嫩滑滑的，非常水润饱满。一周用三次皮肤会很好的！最近脸上总是发痘痘，所以这次又买了绿茶的面膜准备试试看，希望有不错的祛痘效果。,,【缓解痘痘】茶树面膜,,,2022-04-24 11:26:56.451,
小***i,PLUS会员,"<div class=""comment-star star5""></div>",面膜收到了，很好用，很清爽，敷完皮肤滑滑的，包装精美，使用起来也方便很服帖宝贝收到了，太惊喜了，质量非常好，性价比很高，真是出乎我的意料！,,【水油平衡】茶树面膜,,2021-10-15 16:50,2022-04-24 11:26:57.616,
滴***宝,PLUS会员,"<div class=""comment-star star5""></div>",买四件158包邮，性价比非常高的一款产品。特别适合春秋季节补水保湿，适用于各种肤质，没有酒精，没有香精，使用之后感觉棒棒哒。,,【镇定舒缓】茶树面膜,,2022-04-04 21:29,2022-04-24 11:26:57.672,
****c,PLUS会员,"<div class=""comment-star star5""></div>",太划算了，趁活动赶紧下单，性价比很高，很适合学生党，反正挺适合自己肤质的，用完很舒服，也没有刺激过敏的情况，补水特别好，用完脸上也不会粘粘的，面膜也不会很大，适合我小脸，面膜也不厚，赶紧买买买买吧，真的好用,,【镇定肌肤】茶树面膜,,2020-06-13 09:22,2022-04-24 11:26:57.744,
u***8,,"<div class=""comment-star star5""></div>",一次性买了几个功能的，这款除了补水，茶树还有修复痘印的功能，非常好用,,【镇定肌肤】茶树面膜,,2020-11-27 19:55,2022-04-24 11:26:57.830,
u***x,,"<div class=""comment-star star5""></div>",产品质感：跟我的脸型很贴合，大小合适，买这个牌子的面膜有几年了使用感受：补水很保湿，用完皮肤很明显感觉水润了很多补水效果：五颗星，用完水嫩嫩适合肤质：个人认为保湿款的针对所有皮肤类型都是可以的。我是混合型，用着没毛病,,【缓解痘痘】茶树面膜,,,2022-04-24 11:26:57.892,
任***莹,PLUS会员,"<div class=""comment-star star5""></div>",美迪惠尔这个品牌就不用多说了，补水效果杠杠的，买了三款，之前一直用蓝色补水，感觉还不错，11.1京东做提前做双11活动，价格优惠，赶紧开启囤货模式，试用了绿色茶树的，补水效果很不错，秋冬季节，脸比较干，我主要是以补水为主，用的次数比较多，趁活动，多囤了些。推荐。,,【镇定舒缓】茶树面膜,,2021-11-06 10:27,2022-04-24 11:26:57.945,
喵***6,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：包装好大尚。很轻便。使用感受：还没有开始用。适合肤质：敏感肌肤。补水效果：还没有开始用，期待效果。贴合效果：还没有开始用，希望贴合脸型。其他特色：包装颜色喜欢，明亮。买了八盒，价格实惠。现在是三盒也很优惠，想再囤多点，一年四季都可以用的到。反正有效期挺久的。,,【镇定肌肤】茶树面膜,,2020-10-21 02:04,2022-04-24 11:26:57.996,
s***0,PLUS会员,"<div class=""comment-star star5""></div>",这个品牌的面膜经常购买，只是第一次买茶树这款的，感觉精华没有黑膜多，收到后直接打开贴了一贴，这几款轮换使用着，希望能给干燥的肌肤补充水分，要不然每次擦完粉底都会有干皮儿出现，秋冬季节必备哦……送货速度很快?,,【镇定肌肤】茶树面膜,,2020-10-18 08:10,2022-04-24 11:26:58.049,
****a,,"<div class=""comment-star star5""></div>",使用感受：很舒服好闻产品质感：很柔软补水效果：不错不错喜欢贴合效果：很好不留缝隙买了好多,,【镇定肌肤】茶树面膜,,2020-11-04 07:57,2022-04-24 11:26:58.097,
悟***_,,"<div class=""comment-star star5""></div>",面膜的厚度就和别的面膜厚度不一样，明显的比较厚实。一大包满满的精华液，可以充分吸收，用完之后化妆也不会卡粉浮粉，很好很赞的产品呀！,,【水油平衡】茶树面膜,,2021-07-26 21:11,2022-04-24 11:26:58.163,
小***坊,PLUS会员,"<div class=""comment-star star5""></div>",真的很舒服，我一直回购。不过价格貌似慢慢在上涨，比我之前买的要贵了点。我每次买起来三盒三盒一起买，京东物流又快又方便，整体来说这款面膜很OK，适合我们大男人、粗人，偶尔保湿下也蛮好。,,【镇定肌肤】茶树面膜,,2020-10-20 23:00,2022-04-24 11:26:58.584,
d***9,PLUS会员,"<div class=""comment-star star5""></div>",是新款，精华液很多，有茶树油味，很清香，不粘，很好用的面膜！,,【镇定舒缓】茶树面膜,,2021-11-04 09:41,2022-04-24 11:26:58.633,
z***2,PLUS会员,"<div class=""comment-star star5""></div>",高端大气上档次，低调奢华有内涵，越看越喜欢得不得了，购物方便，一点手指送上门，付款简单，不用找零钱，物流速度，那是一流，态度那是超一流。东西很好，价美物廉，谢谢掌柜的！说实在，购物来让我最满意的一次购物。无论是掌柜的态度还是对物品，我都非常满意的。掌柜态度很专业热情，有问必答，回复也很快，我问了不少问题，他都不觉得烦，都会认真回答我，这点我向掌柜表示由衷的敬意，这样的好掌柜可不多。再说宝贝，正是我需要的，收到的时候包装完整，打开后让我惊喜的是，宝贝比我想象中的还要好！不得不得竖起大拇指。下次需要的时候我还会再来的，到时候麻烦掌柜给个优惠哦！,,茶树面膜10片,,2018-06-11 11:58,2022-04-24 11:26:58.683,
m***宝,,"<div class=""comment-star star5""></div>",补水效果：很水润，精华很多！使用感受：用过之后皮肤水水的贴合效果：大小刚刚好，而且很服帖其他特色：卡通图案跟可爱,,【缓解痘痘】茶树面膜,,,2022-04-24 11:26:58.733,
金***7,,"<div class=""comment-star star5""></div>",面膜纸很大一张，精华量算是刚刚好，敷上去不会滴下来。最关键的是即使脸上有伤口敷着都不刺痛,,,,,2022-04-24 11:26:58.782,
****一,PLUS会员,"<div class=""comment-star star5""></div>",京东购物快，第一次购买茶树精油面膜，脸上经常长痘，希望这个面膜对痘痘有舒缓作用，补水效果也好，面膜也很服帖，希望再便宜一些。,,【镇定舒缓】茶树面膜,,2022-03-02 12:58,2022-04-24 11:26:58.824,
Y***4,,"<div class=""comment-star star5""></div>",终于找到了适合自己肌肤的面膜，这款茶树面膜真的超级好用，补水效果也还可以，适合油性皮肤,,【水油平衡】茶树面膜,,2021-05-06 20:24,2022-04-24 11:26:58.870,
l***g,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：不错、跟以前一样的感觉。很薄。使用感受：非常舒服吸收的比较好。适合肤质：我觉得男女都适合吧，主要还是看个人肤质，这款的话比较适合油性皮肤和爱长痘痘的朋友。补水效果：补水效果相对来说没有那款保湿的好，这款针对性不一样。但是也有补水的效果。贴合效果：贴合很不错。,,【镇定祛痘】茶树面膜,,,2022-04-24 11:26:58.908,
****Z,,"<div class=""comment-star star5""></div>",使用感受：舒服补水适合肤质：都可以啊，贴合效果：非常贴合舒服还会回购的哦。下面为凑字数，不过是好用的啦。。。。。。。。。。。。。。。。。(?▽?)更新好看处理好出来还凑合凑合。。嗯ヽ(○^?^)??哈哈哈嘿嘿。。。。。。。。。。。,,【缓解痘痘】茶树面膜,,,2022-04-24 11:26:58.947,
****s,PLUS会员,"<div class=""comment-star star5""></div>",朋友推荐的牌子，有活动赶紧下单买来试试，物流依旧很快，包装完好，敷完以后皮肤滑滑的，油性皮肤，用完以后很滋润保湿，精华液很足，满意,,【水油平衡】茶树面膜,,2021-08-08 08:59,2022-04-24 11:26:58.998,
D***q,,"<div class=""comment-star star5""></div>",第二次买了，真的很好用，没有粘腻感，会继续购买使用哒,,【水油平衡】茶树面膜,,2021-09-01 12:38,2022-04-24 11:26:59.563,
B***e,PLUS会员,"<div class=""comment-star star5""></div>",水分超多，祛痘效果也很不错、超级超级好用，一直都在使用这款，继续支持,,茶树面膜10片,,2017-11-03 17:09,2022-04-24 11:26:59.616,
朱***4,,"<div class=""comment-star star5""></div>",味道很好闻，超级喜欢，用起来效果也很棒，好评。,,【水油平衡】茶树面膜,,2021-05-30 11:10,2022-04-24 11:26:59.680,
起***了,PLUS会员,"<div class=""comment-star star5""></div>",回购很多次的祛痘控油面膜，精华液很多，用完感觉皮肤通透了许多，希望能改善出油和痘痘。,,茶树面膜10片,,2018-09-02 11:30,2022-04-24 11:26:59.740,
****v,PLUS会员,"<div class=""comment-star star5""></div>",第一次买绿色，挺好用的，很清爽，每次都买好几盒,茶树面膜,,,,2022-04-24 11:26:59.785,2019-09-21 13:03
****n,,"<div class=""comment-star star5""></div>",这款之前一直回购，恢复能力真的很好，痘痘肌必备了。双十一期间三件五折、四件四折，价格非常实惠了，蓝药丸和可莱丝都是四盒一百四十的价格，但是可莱丝是一盒十片，价格更优惠。,,【镇定舒缓】茶树面膜,,2021-11-05 13:25,2022-04-24 11:26:59.848,
s***1,PLUS会员,"<div class=""comment-star star5""></div>",挺好用的，已经用了两片了，油性皮肤用确实很舒服，现在天气热了，最好是放在冰箱里，冰一会儿,,茶树面膜10片,,2018-04-02 11:03,2022-04-24 11:26:59.897,
发***绕,PLUS会员,"<div class=""comment-star star5""></div>",面膜质感很好，贴合度也很好，补水效果非常棒，用完感觉脸都润滑了，我是油皮，买了好几款混着用。性价比也很高，换了很多面膜了，这款还是值得推荐的。,,【镇定肌肤】茶树面膜,,2020-09-16 23:57,2022-04-24 11:26:59.953,
开***人,PLUS会员,"<div class=""comment-star star5""></div>",这款面膜的功效担当其实是碳酸，微弱的酸性代谢掉老废角质、污垢和毛孔里淤积的脏东西，用过之后皮肤会干净很多，这款搭配**F来用，每周两次碳酸两次补水，大概十几天闭口就不见了，皮肤又恢复平整。效果非常不错！,,【镇定肌肤】茶树面膜,,2020-07-12 17:18,2022-04-24 11:27:00.003,
年***鱼,PLUS会员,"<div class=""comment-star star5""></div>",用了再来评价的，面膜上印有品牌的logo我是敏感痘肌，没有过敏，贴合效果很好，几乎没有气泡褶皱。补水效果也不错,,,,,2022-04-24 11:27:00.066,
l***7,PLUS会员,"<div class=""comment-star star5""></div>",这个品牌的面膜可以说是经典啦感觉在大学就用绿色适合于痘痘肌镇定的效果很好尤其夏天在外面被晒了以后用着特别舒服补水的效果也好现在京东159块钱3盒太便宜啦比在韩国买回来的都便宜推荐购买,,【缓解痘痘】茶树面膜,,,2022-04-24 11:27:00.449,
h***w,PLUS会员,"<div class=""comment-star star5""></div>",大品牌值得信赖。面膜舒适，不伤皮肤，活动价性价比高，物流很快。,,【水油平衡】茶树面膜,,2021-04-13 12:53,2022-04-24 11:27:00.510,
鬼***鰲,,"<div class=""comment-star star5""></div>",用着非常舒服薄薄的敷完脸上水分十足补水效果不错,,茶树面膜10片,,2018-04-22 15:25,2022-04-24 11:27:00.562,
危***地,PLUS会员,"<div class=""comment-star star5""></div>",双十一囤面膜，这款面膜性价比还可以，补水也挺好，算不得很惊喜，日常补水也够了，比其他很多牌子都可以，日常补水下面几种个人都觉得都不错的。,,【镇定肌肤】茶树面膜,,2020-11-12 16:37,2022-04-24 11:27:00.610,
e***h,,"<div class=""comment-star star5""></div>",这次真的相当划算，满两件就可以打八折可莱丝美迪惠尔控油祛痘面膜10片水库针剂，真的很不错,,茶树面膜10片,,,2022-04-24 11:27:00.677,
再***吧,PLUS会员,"<div class=""comment-star star5""></div>",精华不多不少刚刚好，用完没有油腻腻黏糊糊的感觉，绿茶很清爽，坚持每天使用效果比较好,,,,,2022-04-24 11:27:00.729,
姚***铠,PLUS会员,"<div class=""comment-star star5""></div>",好用好用好用，姐妹们是真的好用，多囤一些在家里，天天贴起来。要想皮肤好.面膜真的不能少。这个价格也实惠，不心疼?????,,【镇定舒缓】茶树面膜,,2022-01-17 20:35,2022-04-24 11:27:00.772,
****d,,"<div class=""comment-star star5""></div>",一买回来就用了……用在脸上有一点点药妆的感觉……但是很舒服……感觉到消炎镇静的作用……很开心……下次准备多囤几盒,,茶树面膜10片,,2016-12-14 08:51,2022-04-24 11:27:00.823,
l***8,,"<div class=""comment-star star5""></div>",很快就到货了，当晚马上试用，精华很多，面膜纸的厚度裁剪味道都很满意，就是高额头的大脸妹伤不起啊，额头只到一半脸颊还有一指，以后可不可以做大点啊～,,茶树面膜10片,,2017-06-21 22:35,2022-04-24 11:27:00.859,
y***n,PLUS会员,"<div class=""comment-star star5""></div>",小包装，偏于携带，大小合适，服帖，精华液很多，对痘痘肌很友好！,,茶树面膜,,,2022-04-24 11:27:00.906,
****K,,"<div class=""comment-star star5""></div>",包装完好未拆封，经常在全球购买面膜，第一次在京东超市，主要是物流快。包装上有保质期，16年7月和9月，很新鲜。祛痘的用了一片，保湿，以前用别家祛痘的脸特别干，感觉不错，会回购！,,茶树面膜10片,,,2022-04-24 11:27:01.252,
购***2,,"<div class=""comment-star star5""></div>",非常喜欢，质量也很不错，也很实用，使用后宝贝很喜欢，很喜欢这个牌子。皮肤滑滑的。,,茶树面膜,,,2022-04-24 11:27:01.308,
可***桐,PLUS会员,"<div class=""comment-star star5""></div>",我喜欢这个面膜。搭配衣服脸色很好。坚持用哦。一定会有效果。我想你真的会觉得他们会觉得自己很差劲了，你们的朋友都是这样吧。我们,,,,,2022-04-24 11:27:01.361,
u***q,,"<div class=""comment-star star5""></div>",买了盒茶树和水润保湿的还有一个六片套装，打了五折，很划算，昨天到了就用了个茶树的，精华超级多，而且我是平常一敷面膜就冒痘的敏感肌肤，用这款并没有出现过敏现象，而且不油腻，很清爽，其他的等我用了再来评论,,茶树面膜10片,,2018-09-07 07:54,2022-04-24 11:27:01.415,
m***i,PLUS会员,"<div class=""comment-star star5""></div>",物流很给力，当天下单后差不多第二天就送到了。面膜质量也不错，面膜里面的精华液很多，除了敷脸还可以敷手，相当于做了手膜……,,【镇定舒缓】茶树面膜,,2022-04-12 13:21,2022-04-24 11:27:01.476,
A***6,,"<div class=""comment-star star5""></div>",面膜敷上很服帖很薄，敷上之后完全清爽的，特别舒服，没有辜负我的期望，还有一盒没用，不过我很满意！,,茶树面膜10片,,2018-02-02 21:00,2022-04-24 11:27:01.526,
乄***C,,"<div class=""comment-star star5""></div>",产品质感：比较薄，水分足使用感受：虽然味道怪怪的，有种化学味道但用过之后的效果还是可以接受的。补水效果：良好贴合效果：良好，我这种脸盘子大的人竟然还能剩余很多的部位。适合肤质：混合皮肤，油性皮肤，干性皮肤，以及其他乱七八糟皮肤。其他特色：包装挺绿的，绿绿的让人心情非常满意,,【缓解痘痘】茶树面膜,,,2022-04-24 11:27:01.577,
咚***瑟,PLUS会员,"<div class=""comment-star star5""></div>",铁粉用了好多次这次活动力度大多囤了几盒面膜很贴合没有特殊气味水水润润的会继续支持,,【缓解痘痘】茶树面膜,,,2022-04-24 11:27:01.633,
稚***稚,PLUS会员,"<div class=""comment-star star5""></div>",之前一直购买的这个牌子的补水面膜，感觉挺补水的，价格还很便宜，特别不错，这次就试试祛痘面膜，刚好最近脸上在冒痘，就说买回来试试，用了一张后感觉效果还行，红肿的地方消了不少，希望后面效果会很好，优惠力度也很大，物流特别快,,【镇定肌肤】茶树面膜,,2020-08-31 23:18,2022-04-24 11:27:01.696,
c***子,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：很好啊，弟弟长痘痘买来送给他，虽然他说没什么效果。使用感受：感受很不错，味道好闻。适合肤质：适合痘痘肌吧。但是作用不大。补水效果：补水效果的话建议买补水面膜吧。贴合效果：很服帖。其他特色：好看。,,【缓解痘痘】茶树面膜,,,2022-04-24 11:27:01.755,
一***壮,PLUS会员,"<div class=""comment-star star5""></div>",内含茶树精华，能够有效的控制皮肤的油脂分泌，是一款控油保湿的面膜，第一次使用，洗碗效果很好哦,,【镇定舒缓】茶树面膜,,2021-11-02 09:11,2022-04-24 11:27:02.161,
****5,PLUS会员,"<div class=""comment-star star5""></div>",双11买的，买了很多，补水效果不错，推荐使用，双11活动价格买的，也很划算，用完再购买，奈何文化程度就这么高，再也不知道如何超表达，还得凑字,,,,,2022-04-24 11:27:02.230,
****k,,"<div class=""comment-star star5""></div>",水油平衡的很好用，贴上去很清凉，味道也是淡淡的，使用完脸很水润，好评。,,,,,2022-04-24 11:27:02.273,
z***5,PLUS会员,"<div class=""comment-star star5""></div>",到啦到啦，开始享受美起来，天天晚上贴个，皮肤好很多,,【水油平衡】茶树面膜,,2021-06-21 19:37,2022-04-24 11:27:02.312,
-***乱,PLUS会员,"<div class=""comment-star star5""></div>",效果非常不错，之前没用过面膜，用了两片后明显感觉毛孔收紧了不少,,控油战痘茶树面膜25ml*10,,2016-06-25 10:51,2022-04-24 11:27:02.357,
吕***郎,,"<div class=""comment-star star5""></div>",产品质感：轻薄，用起来凉凉的很舒服贴合效果：面膜很贴合适合肤质：油痘肌，我最近烂脸时期，用了几次以后痘痘能控制住了，强推！,,【缓解痘痘】茶树面膜,,,2022-04-24 11:27:02.396,
范***4,,"<div class=""comment-star star5""></div>",囤囤囤，618的时候大量囤货了，本人敏感肌，只有这款用了没有过敏反应，绿色的控油控痘很明显，还有维生素的，黑膜也很好用，美迪惠尔的都很喜欢,,茶树面膜10片,,2018-07-03 16:43,2022-04-24 11:27:02.438,
吴***子,PLUS会员,"<div class=""comment-star star5""></div>",多次回购了，上次也是一下买了三盒，特别好用，我是敏感性皮肤，肤质偏干，用起来很好，补水效果不错，脸上泛干起皮的地方用了多次已经恢复平衡了，面膜纸比较薄，精华也不算特别粘的那种，推荐给了身边的好姐妹，最后必须夸一下物流，上午买的下午就到了，京东果然杠杠的！,,【镇定祛痘】茶树面膜,,,2022-04-24 11:27:02.478,
喂***北,,"<div class=""comment-star star5""></div>",真是服了京东了，太快了吧，我刚晚上下单，第二天没起床。睡过头，就电话催的收快递，简直深速。双十一赶着怕退货吗？哈哈哈哈哈买面膜选京东。不错哟。,,【镇定舒缓】茶树面膜,,2021-11-02 16:34,2022-04-24 11:27:02.533,
****y,,"<div class=""comment-star star5""></div>",可莱丝是我一直都喜欢用的面膜，特别靠谱，然后他这个茶树面膜的话就要去痘的效果，我脸上起痘吗，所以我一直都用这个买了好多次了,,茶树面膜10片,,2017-08-11 09:23,2022-04-24 11:27:02.580,
j***i,PLUS会员,"<div class=""comment-star star5""></div>",超级喜欢的面膜，非常推荐，精华液超级多，真的爱了，面膜基本上两天一片，所以遇到这种便宜又好用的可以多备一些，日常护理还是不错的，朋友去韩国也给带过，非常不错，这次看的活动不犹豫直接买了，我觉得作为日常使用，只需要保湿就可以,【缓解痘痘】茶树面膜,,,,2022-04-24 11:27:02.993,2020-03-09 15:19
惠***尔,,"<div class=""comment-star star5""></div>",很好用，适合小脸。精华虽然不多，但是膜布很舒服。补水的话也够用了。,,,,,2022-04-24 11:27:03.055,
z***n,,"<div class=""comment-star star5""></div>",第一次买舒缓祛痘的，给老公买的，因为我一直用这个牌子的面膜，觉得特别好，所以也给他买来用用，赶上618活动，价格非常的划算,,【水油平衡】茶树面膜,,2021-06-30 06:39,2022-04-24 11:27:03.100,
小***眸,PLUS会员,"<div class=""comment-star star5""></div>",美迪惠尔的面膜很好用，京东618，又买了好几盒，总体挺满意的！京东配送也很给力！,,茶树面膜10片,,2017-06-18 20:31,2022-04-24 11:27:03.153,
****2,PLUS会员,"<div class=""comment-star star5""></div>",不错的，很好用的，好用了，很好用呢，补水效果不错的，很好用呢，买了好几次呢，不错的选择，很喜欢呢，不错的选择，适合肤质：任何都可以用呢,,【水油平衡】茶树面膜,,2021-09-18 14:49,2022-04-24 11:27:03.209,
毓***毓,PLUS会员,"<div class=""comment-star star5""></div>",买了很多种美迪惠尔的面膜，每一款都很好用，不会踩雷！夏天天气热，放进冰箱里冷藏，再冷敷，简直舒服的不能自己！我和妈妈妹妹姑姑全部都爱上了，一起敷面膜就是每天晚上的必修课！京东打折价格也特别划算，一起买很多！,,【镇定肌肤】茶树面膜,,2020-08-15 19:52,2022-04-24 11:27:03.263,
T***m,PLUS会员,"<div class=""comment-star star5""></div>",脸上爆痘，敷这个一两次，痘就没那么红肿了，茶树油味很浓，不错不错,,茶树面膜10片,,2018-07-15 16:15,2022-04-24 11:27:03.316,
****i,,"<div class=""comment-star star5""></div>",用过美迪惠尔其他的这是是搭配一套收缩毛孔用的希望好用面膜纸很薄水也很多好用?,,茶树面膜,,,2022-04-24 11:27:03.363,
****n,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：很有质感使用感受：感受不错适合肤质：问下客服贴合效果：很贴合补水效果：还行吧！其他特色：我也不知道,,【调理水油平衡】茶树面膜,,2021-01-03 21:34,2022-04-24 11:27:03.444,
x***4,PLUS会员,"<div class=""comment-star star5""></div>",还没有用！不知道效果怎么样！用了补水的很不错！这款应该也很好！一直用这个牌子的面膜！,,茶树面膜10片,,2017-11-13 20:26,2022-04-24 11:27:03.508,
泡***-,PLUS会员,"<div class=""comment-star star5""></div>",很润的一款面膜很温和敷着很舒服满满的元气已经买过好几次了真的很喜欢啦～～～,,茶树面膜,,,2022-04-24 11:27:03.943,
