用户名,会员,星级,评论,类型1,评论时间1,类型2,评论时间2,采集时间,评论时间3
u***l,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：包装很好，不小气，外盒很美观，内袋也好看，不像小店产品。使用感受：用起来很舒服，精华够多，使用后皮肤滑滑的。适合肤质：本人油性皮肤，用起来不错。补水效果：杠杠的补水，舒服！贴合效果：面膜不大小很合适，稍微大一点，贴起来很舒服，面膜布也很好，滑滑的。其他特色：性价比很不错，这次是搞活动买的，很划算，推荐购买！,,,【弹力紧致】胶原蛋白面膜,,23:16.1,
1***p,,"<div class=""comment-star star5""></div>",产品质感：质感很好，敷上感觉脸上的精华液特别多，脸滑滑的润润的使用感受：使用的补充胶原蛋白的，感觉女人就得补充胶原蛋白才能永远年轻，这款面膜就很好，能有效的给我们补充胶原蛋白，使我们的脸越来越年轻适合肤质：适合任何肤质补水效果：补水效果也是特别好，水水润润的贴合效果：很贴合，符合中国人的脸型，价格也很合适，赶上520买的，有活动,,,【莹润肌肤】胶原蛋白面膜,,23:16.1,
****1,,"<div class=""comment-star star5""></div>",补水美白面膜很好用，日期新鲜，活动价购入很优惠。比在超市便宜。使用感受很好，不粘腻，清爽的面膜。我是敏感肌肤，使用不过敏，用好还会回购的。,,,【盈润光滑弹嫩】胶原蛋白面膜,2021/1/4 10:47,23:16.5,
****r,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：面膜厚实，纯棉材料，柔软舒服。适合肤质：适合各种肤质，油性皮肤最好先控一下油，防止吸收不好。补水效果：补水效果很不错，敷完后还有很多精华液。贴合效果：贴合紧凑，不易脱落。不影响干别的事情。其他特色：性价比高，京东活动买的，打了五折。很划算。,,,【提亮紧致】胶原蛋白面膜,2020/9/14 6:43,23:16.6,
莺***度,PLUS会员,"<div class=""comment-star star5""></div>",京东面膜活动的时候买，价格是非常便宜的，我觉得差不多可以说是全网最低，美迪惠尔属于平价面膜，性价比可以，黄色这款用完可以提亮肤色。发货很快,【光滑弹嫩】胶原蛋白面膜,2021/6/6 9:26,,,23:16.6,
像***-,,"<div class=""comment-star star5""></div>",包装确实不错呀，有纸盒子保护，对商品来说很不错，。面膜的话，精华液很多，很滋润，对干皮有很大的帮助，夏季天气干燥，这款面膜对于夏天来说很友好，很保湿，用这很好，面膜纸也比较好，服帖面部，比其他的面膜好很多，物流也是特别的块，中午下单，下午就到了，拿到手就用起来，还是很不错的，好评。现在活动还是很给力的，满减对于平民来说还是非常的有性价比的，买起来绝对不会吃亏，这款面膜这边的很不错，推荐你们购买呢。。,,,胶原蛋白面膜,,23:16.7,
傻***里,PLUS会员,"<div class=""comment-star star5""></div>",搞活动吗？买两件都有优惠，一次性拿满脸嫩嫩的很舒服。精华也特别多。长时间用下来脸都白了不少。面膜成分越简单，我感觉效果越好。,,,【光滑弹嫩】胶原蛋白面膜,2021/6/17 15:25,23:16.7,
铭***呀,PLUS会员,"<div class=""comment-star star5""></div>",质量很好大牌子有保障很喜欢一直在用这个赠品睡眠面膜也是很好的黄色的没用过但是看着很好一会就用了再睡觉很好,,,【光滑弹嫩】胶原蛋白面膜,2022/3/8 21:58,23:16.8,
r***m,PLUS会员,"<div class=""comment-star star5""></div>",京东618活动入手购买，比较实惠。这款面膜配合补水面膜用比较好。一直用同一款，可以替换下感觉，淡淡的味道，还可以。夏季和换季时可以贴贴，补水很快，不干燥。比较着果然。自营送货很快，服务很高，比较负责。满意。,,,【提亮紧致】胶原蛋白面膜,2020/6/11 10:54,23:16.8,
****h,PLUS会员,"<div class=""comment-star star5""></div>",菊香淡雅胶原蛋白面膜。用过了感觉还不错，保湿效果很好。不粘挺清爽的。,,,【光滑弹嫩】胶原蛋白面膜,2021/7/26 6:30,23:16.8,
1***7,PLUS会员,"<div class=""comment-star star5""></div>",超级喜欢美迪惠尔面膜，这个面膜真的超级给力！适合干性皮肤，面膜大小正好贴合皮肤！超级不错。口袋里精华十足的！以后还会无限回购！,,,【光滑弹嫩】胶原蛋白面膜,2021/11/5 20:45,23:16.9,
喵***子,,"<div class=""comment-star star5""></div>",产品质感：包装设计我一直很喜欢，面膜纸是有厚度的。适合肤质：我是油皮，对于面膜没有太高的要求，补水就好。贴合效果：面膜很贴合，敷在脸上也很舒服。最喜欢黑面膜。其他特色：京东物流很快，送货师傅态度也很好。,,,【提亮紧致】胶原蛋白面膜,2020/10/21 13:01,23:16.9,
甜***-,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：包装简单大方使用感受：补水效果很不错，一次拍了3盒，和舍友一起用适合肤质：我是干皮敏感肌，平时就是想补水补水效果：精华多，补水保湿效果好贴合效果：大小合适，十分贴合其他特色：京东活动力度很大！喜欢的别犹豫了！好快下单！,,,【提亮紧致】胶原蛋白面膜,2020/10/13 16:02,23:17.2,
****2,,"<div class=""comment-star star5""></div>",已经返购好多次，宝贝质感不错，柔顺丝滑，贴在脸上也很服帖，适合任何肤质，补水美白效果不错，长期使用肤色都提亮了不少，京东送货速度也很快，搞活动的时候买的，隔天就到货了，售后服务也不错，一如既往的信赖京东,,,【弹力紧致】胶原蛋白面膜,,23:17.3,
品***静,PLUS会员,"<div class=""comment-star star5""></div>",买了好几盒这个是含胶原蛋白的试用一下，吸收非常快还是蛮好，感觉挺好用，下次搞活动再买几盒，以前都会买几盒来屯着用。用完满舒服的。,,,【光滑弹嫩】胶原蛋白面膜,2022/2/28 21:06,23:17.3,
y***央,,"<div class=""comment-star star5""></div>",美迪惠尔胶原蛋白面膜，第三次购买了，很喜欢敷完满满胶原蛋白的感觉，仿佛又回到了青春期，皮肤白里透红，元气少女感满满，值得再次入手，嘿嘿?,,,【光滑弹嫩】胶原蛋白面膜,2021/9/19 1:55,23:17.4,
L***0,PLUS会员,"<div class=""comment-star star5""></div>",感觉还是黑色面膜好用，敷上去很舒服，没有刺激的感觉，感觉很舒服。,,,【光滑弹嫩】胶原蛋白面膜,2021/8/17 21:03,23:17.4,
****b,PLUS会员,"<div class=""comment-star star5""></div>",囤货的感觉很好，一直很信赖美迪惠尔。我是属于每天面膜换着用的人，他们家的补水效果绝绝绝！！用过的都知道哈。这个购买打折力度很给力,,,【弹力嫩滑】胶原蛋白面膜,2022/4/16 8:51,23:17.5,
c***n,PLUS会员,"<div class=""comment-star star5""></div>",经常买美迪惠尔的面膜、便宜实惠、使用起来也很好、老妈年纪大了也可以很方便的自己使用。这款胶原蛋白面膜、据说添加了胶原蛋白、可以让皮肤更紧致,,,【光滑弹嫩】胶原蛋白面膜,2022/4/3 10:48,23:17.5,
u***s,,"<div class=""comment-star star5""></div>",多次使用这个牌子的面膜了，效果很好，味道也不错，对于敏感肌来说也不错，这次趁有活动买来囤货了，性价比很高，值得再次购买。,,,【光滑弹嫩】胶原蛋白面膜,2022/2/24 12:53,23:17.6,
顽***猴,,"<div class=""comment-star star5""></div>",面膜性价比很高，京东物流的到货速度也很快。前段时间天气变化，皮肤特别干燥。连续用了一段时间这个面膜，皮肤开始变的水嫩，以后还会回购的。,,,【光滑弹嫩】胶原蛋白面膜,2021/12/31 16:29,23:17.6,
小***菜,PLUS会员,"<div class=""comment-star star5""></div>",一盒十片超级好又便宜又好用面膜超级服帖很保湿补水不容易过敏喜欢的赶紧下手趁活动入手了很多不亚于大牌子的面膜哦,,,【光滑弹嫩】胶原蛋白面膜,2021/11/14 12:24,23:17.7,
z***n,PLUS会员,"<div class=""comment-star star5""></div>",下单立到，速度快的吓人……方便，好?这个牌子面膜很好用，用后皮肤光滑温润，冬天干燥用完觉得心情都好了……幻想皮肤随时处于面膜后状态中?,,,【光滑弹嫩】胶原蛋白面膜,2022/1/19 11:32,23:18.0,
杜***丶,PLUS会员,"<div class=""comment-star star5""></div>",很喜欢东西真的好服务也很棒产品特别棒我特别喜欢保湿滋润搞活动买的很划算快递也很快清洁度强温和不刺激味道也很好闻性价比高使用效果很好皮肤明显水润很多光滑很多有一定的补水效果我很喜欢超级棒,,,胶原蛋白面膜,,23:18.1,
m***Q,PLUS会员,"<div class=""comment-star star5""></div>",用过很多款面膜，这一款属于精华液比较少的，面膜贴上以后，比如鼻子等部位一两分钟就干了，所以整体滋润度感觉不是特别优秀。好处就是面膜纸很服帖，裁剪也合理，贴合度很好。活动价格也比较实惠。,,,【提亮紧致】胶原蛋白面膜,2020/11/28 10:50,23:18.1,
1***-,PLUS会员,"<div class=""comment-star star5""></div>",第二次回购的，之前京东618的时候买过一次，很便宜很划算，这是双十一价格也很不错，囤货囤货了，个人感觉这几种都不错的的，没啥区别，补补水挺好,,,【光滑弹嫩】胶原蛋白面膜,2021/11/4 14:10,23:18.2,
p***r,PLUS会员,"<div class=""comment-star star5""></div>",长期在用这款面膜，最近赶上京东做活动，又买了一批。这款面膜非常好用，含水量很高，用完了脸部感觉很滋润。这款面膜有很多种功效，有不同的针对性，可以一次买几款不同的，感觉每种都很好用。,,,【提亮紧致】胶原蛋白面膜,2020/10/19 22:14,23:18.2,
L***F,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：纺织布材质的面膜，现在比较少见了，很厚，面膜不那么容易变干，敷了40分钟，也还很湿润使用感受：保水效果不错，用完清爽，第二天早起也水润适合肤质：任何肤质,,,【光滑弹嫩】胶原蛋白面膜,2021/6/14 9:12,23:18.2,
u***u,,"<div class=""comment-star star5""></div>",这款面膜保湿效果好，很多精华液，服贴，这次活动价格便宜，多买了几盒。晚上下单第二天早上就送到了，京东速度啊，赞一个。,,,【光滑弹嫩】胶原蛋白面膜,2021/11/13 10:31,23:18.3,
蓝***爱,PLUS会员,"<div class=""comment-star star5""></div>",用来用去感觉还是这个最好用，补水效果特别好，比较适合敏感皮肤，大小合适，发货也快，包装没有破损，我很满意！,,,【提亮紧致】胶原蛋白面膜,2020/12/2 7:50,23:18.3,
范***年,PLUS会员,"<div class=""comment-star star5""></div>",不错不错，这个面膜物美价廉物超所值，贴了一片，挺清爽的，补水可以的，每天贴一次，也不心疼，推荐推荐。,,,【光滑弹嫩】胶原蛋白面膜,2021/8/20 20:22,23:18.4,
A***鱼,PLUS会员,"<div class=""comment-star star5""></div>",补水效果：补水效果很好，又保湿，轻薄透气，敷着不会觉得很闷，抗皱紧肤。使用感受：使用效果很好，易清洗，用过之后皮肤水嫩嫩的，很舒服。贴合效果：贴合效果非常的好，精华偏粘稠，超级超级喜欢，敷完脸上有剩于的精华可以轻轻按摩几分钟，效果会更好。,,,【提亮紧致】胶原蛋白面膜,2020/8/12 0:23,23:18.4,
****o,PLUS会员,"<div class=""comment-star star5""></div>",水润润的，味道也淡淡的，特别好闻。不似凝露状的那种，粘粘的。晚上睡觉前，早上起床后，贴上一片，一整天都很润~特别喜欢，还会回购,,,【盈润光滑弹嫩】胶原蛋白面膜,2021/1/2 21:23,23:19.1,
H***0,PLUS会员,"<div class=""comment-star star5""></div>",特别喜欢的一个面膜品牌，用了几年了，这次看到有活动又囤了好多，这款新胶原蛋白面膜用着非常好，脸上水嫩水嫩的很光滑，保湿补水效果非常好?,,,【光滑弹嫩】胶原蛋白面膜,2022/3/13 11:20,23:19.1,
不***子,PLUS会员,"<div class=""comment-star star5""></div>",挺好用的，味道很好闻，不油腻，特好用。感觉比蓝色的还好点，挺好的，值得购买,胶原蛋白面膜,,,,23:19.2,2019/10/3 23:11
****s,PLUS会员,"<div class=""comment-star star5""></div>",双十一价格也不错，姐姐推荐的，第一次买来试试。到货迅速，很赞！面膜纸比蓝色那款柔和，软软的，柔柔的，敷好以后感觉很清爽，皮肤也很亮，可以和蓝色款交替使用，精华液也不粘。,,,胶原蛋白面膜10片,2017/11/13 14:46,23:19.2,
羽***蝶,PLUS会员,"<div class=""comment-star star5""></div>",之前一直都是用的蓝色补水的那一款，第一次用这款，用起来还不错！面膜很贴合脸部，精华液很多，用后没有过敏！用完皮肤很润！物流也很快！,,,【光滑弹嫩】胶原蛋白面膜,2021/5/6 16:33,23:19.3,
m***1,,"<div class=""comment-star star5""></div>",产品质感：很服帖面膜，很好用。使用感受：用完皮肤细腻，不干不起痘适合肤质：任何皮肤补水效果：比较补水贴合效果：很贴其他特色：美白。,,,【提亮紧致】胶原蛋白面膜,2020/8/18 11:42,23:19.3,
一***噢,PLUS会员,"<div class=""comment-star star5""></div>",面膜很不错，摸起来贴起来都很舒服，富含各种胶原蛋白，弹性蛋白等，减缓皮肤氧化，强韧肌肤，能够长时间有效持久保湿，润泽肌肤，收敛毛孔，嫩滑肌肤，抚平细纹，每周三四次，晚上睡前敷一片，保持皮肤水分和活力，更年轻自然水润。,,,【弹力紧致】胶原蛋白面膜,,23:19.3,
****a,PLUS会员,"<div class=""comment-star star5""></div>",用着很好用，一个比较要好的朋友推荐的哦，我也推荐了给其他朋友，补水保湿效果很好，并且京东上买的价格比超市便宜多了，在京东上买还比较放心些，我是敏感肌肤，但是试用了一下，没啥问题，还挺好的，下次还会再来购买的哦,【盈润光滑弹嫩】胶原蛋白面膜,2021/1/3 9:37,,,23:19.4,
z***c,PLUS会员,"<div class=""comment-star star5""></div>",物流快，包装好，送货上门。一直用美迪惠尔的面膜，以前用的比较多的是蓝色高保湿那款，用着很舒服，很温和，水润，无刺激，这次换了一款，还没用，618活动价，多买了几盒，感觉可以用很久，好用的话会继续购买的。,,,【提亮紧致】胶原蛋白面膜,2020/6/21 10:24,23:19.4,
v***y,PLUS会员,"<div class=""comment-star star5""></div>",这家一系列的面膜都很好用，不油不腻，清爽好吸收，618囤货买了一批，核算下来几块钱一片，对于不去美容院的护肤认识还是很友好的。,,,【光滑弹嫩】胶原蛋白面膜,2021/7/6 22:20,23:19.5,
周***间,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：质量感觉很好的。使用感受：还不错。适合肤质：应该都合适，我敏感肌用了没事。补水效果：敷完感觉皮肤很水润。贴合效果：很贴合皮肤，这个真的大赞，设计的很好。其他特色：这次应该是给我发错了一种，已经用了就算了。,,,【光滑弹嫩】胶原蛋白面膜,2021/6/9 21:06,23:19.8,
c***1,,"<div class=""comment-star star5""></div>",趁活动入手的，买了好几种，挺好的，很划算，精华液也很多，还有防伪查验，敷起来也舒服，蚕丝面膜纸，很细软，等活动再入手。。,,,【光滑弹嫩】胶原蛋白面膜,2021/7/30 23:27,23:19.9,
浪***春,PLUS会员,"<div class=""comment-star star5""></div>",一直都在京东自营购买护肤用品，非常好用用了后非常水润保湿，主要是够大张，脸大的人也绝对够用，护肤品还是京东购买放心，不然脸都毁了！,,,【盈润光滑弹嫩】胶原蛋白面膜,2021/3/5 18:04,23:19.9,
****0,PLUS会员,"<div class=""comment-star star5""></div>",看了老爸评测推荐来的，挺好用的，补水效果好，京东自营买着相对放心点，送货速度也很快，活动价格再给力点就更好了，会回购的！,,,【光滑弹嫩】胶原蛋白面膜,2021/7/8 16:46,23:20.0,
c***花,,"<div class=""comment-star star5""></div>",第一次购买这款面膜，初次使用，还觉得挺好的，补水效果特别好，孩子也喜欢，也给还是试了试，感觉很舒服，凉凉的，也很贴合脸部！！很不错！！！,,,【光滑弹嫩】胶原蛋白面膜,2021/6/18 8:41,23:20.0,
蚕***i,PLUS会员,"<div class=""comment-star star5""></div>",美迪惠尔的这个胶原蛋白面膜挺好用的，补水效果很好，用完皮肤水润有光泽。价格实惠，自己用过很多面膜，个人感觉这款性价比最高。京东自营店品质有保证，价格实惠，物流满意,,,【盈润光滑弹嫩】胶原蛋白面膜,2021/2/5 13:10,23:20.0,
G***o,PLUS会员,"<div class=""comment-star star5""></div>",适合肤质：因为主打胶原蛋白，可能比较适合油皮肤或者脱水程度比较严重的皮肤吧。补水效果：尝试一片，说实话不如经典小吊瓶的感觉。贴合效果：面膜纸非常柔顺，贴个脸肌肤很紧密，没有缝。其他特色：补水程度很好，一天脸都不会特别干涩。,,,【光滑弹嫩】胶原蛋白面膜,2021/5/26 16:04,23:20.1,
u***t,,"<div class=""comment-star star5""></div>",一直用这个品牌的面膜，很贴合，不刺疼，不难受，非常的舒服，以后如果有活动还会继续囤的，放着慢慢用也不心疼，一直支持下去的呢！,,,【光滑弹嫩】胶原蛋白面膜,2021/9/25 10:28,23:20.1,
小***丁,PLUS会员,"<div class=""comment-star star5""></div>",活动时囤货买的，现在还没有用，相信美迪惠尔的品质不会差的，质量有保证，物美价廉，用起来也不会心疼，补水效果还很好，京东购物送货快，今天买明天到，售后做的好，购物放心，买东西就选京东,,,【光滑弹嫩】胶原蛋白面膜,2021/11/21 12:02,23:20.2,
m***b,PLUS会员,"<div class=""comment-star star5""></div>",秋冬必备的补水保湿佳品。一周一次集中护肤可以的。包装很是精美，看得出卖家的用心。晚上开始敷面膜，打开的时候感觉有股淡淡的香味，挺好闻的，里面的精华液也很多，面膜纸薄，但是不容易破，服贴。敷完之后感觉脸部很水润，保湿效果不错。京东送货快。,,,【弹力紧致】胶原蛋白面膜,,23:20.2,
w***k,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：面膜很柔然，精华很多。使用感受：放在冰箱储存，用的时候冰冰凉，很服帖，面膜布面积很大。补水效果：非常好，水润细滑。面部晚上补水感觉效果更佳。适合肤质：任何肤质，我是混合性用着很棒，家里有干性肤质也可以用。贴合效果：非常贴合，和面部完整贴合，鼻部也可以覆盖到。其他特色：润滑肌肤，迎耀光彩。,,,【弹力紧致】胶原蛋白面膜,,23:20.5,
s***3,PLUS会员,"<div class=""comment-star star5""></div>",美迪惠尔的胶原蛋白系列用到只剩一张了才想起来评价，盒子已经扔了。面膜很薄很清透。用了脸上感觉弹弹嫩嫩的。好喜欢它喔。几乎每天都使用一片，会不会很耗面膜呀。太喜欢了啦。,,,【光滑弹嫩】胶原蛋白面膜,2021/9/10 19:26,23:20.6,
****w,,"<div class=""comment-star star5""></div>",商家发货速度非常快，物流小哥也非常给力。已经是第二以购买了，使用后感觉效果非常不错，非常喜欢。价格也非常适中，在能接受的范围。,,,【光滑弹嫩】胶原蛋白面膜,2021/9/8 20:08,23:20.6,
紫***3,PLUS会员,"<div class=""comment-star star5""></div>",199买的四盒，四盒中只有黄色的外盒有封口贴，打开用了一下，面膜纸上有品牌Logo，给人感觉很好，面膜纸也可以贴到下颌，再向上提拉感觉也很不错。对于我这种脸比较大额头比较宽的人，目前还没买到能把额头都贴上的面膜，这款至少两侧都能贴上，比较满意，面膜比较滋润，本人干皮，敷完很润。满意！买之前没咨询，收到货后咨询了一下，客服态度很好！,,,【提亮紧致】胶原蛋白面膜,2020/7/6 20:25,23:20.7,
j***i,PLUS会员,"<div class=""comment-star star5""></div>",我的皮肤比较娇嫩，就是不知道为什么市面上的面膜都不能用，就这款我可以一直使用，而且很舒服，没有不良反应，精华液也是非常的多。,,,【盈润光滑弹嫩】胶原蛋白面膜,2021/2/19 1:15,23:20.7,
z***7,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：很喜欢，独立包装，图案清晰使用感受：很清爽，补水适合肤质：感觉都适合用，我自己是干性肌肤，老是起皮，目前用了好很多补水效果：用完水嫩舒服，紧绷感立马消失，肌肤水嫩嫩，喜欢，冬天也喜欢用贴合效果：面膜大小我觉得刚好，贴合的很好，材质也喜欢，一直都在用哦其他特色：搞活动可以囤一些，性价比高，很受欢迎,,,【弹力紧致】胶原蛋白面膜,,23:20.8,
晴***光,PLUS会员,"<div class=""comment-star star5""></div>",宝贝很好，用起来效果不错，用完后脸上滑滑的，味道很好闻，有淡淡的香味，不腻人，而且是京东搞活动买的，价格很合适，三盒还不到一百元，一直信赖京东购物，保证商品质量，发货速度还快，一般都有前天下单第二天就到了，一点都不耽误使用，京东购物太省心太方便了。,胶原蛋白面膜,,,,23:20.8,2019/8/24 13:05
s***6,PLUS会员,"<div class=""comment-star star5""></div>",比较推荐美迪惠尔这款胶原蛋白精华面膜，使用效果很不错，面膜自带有很多精华，敷在脸上很贴合，面部特别舒服，敷后脸上皮肤光滑白细，很好?,,,【盈润光滑弹嫩】胶原蛋白面膜,2021/1/16 18:25,23:20.9,
蓝***爱,PLUS会员,"<div class=""comment-star star5""></div>",对皮肤敏感的效果很好，保湿效果也很明显，每一个都是单独包装，使用起来很方便，对本人的皮肤特别好，会一直用下去，我很满意！,,,【光滑弹嫩】胶原蛋白面膜,2021/4/2 17:41,23:20.9,
****4,PLUS会员,"<div class=""comment-star star5""></div>",一直在使用这款面膜，补水效果好，使用后皮肤光滑、滋润，快递小哥态度很好，物流给力,,,【光滑弹嫩】胶原蛋白面膜,2021/7/28 14:51,23:21.0,
a***0,PLUS会员,"<div class=""comment-star star5""></div>",还是第一次使用这款面膜，最近肤色有些暗沉，这款面膜深层补水，提亮肤色，使用后效果满意，一个星期贴了三张，气色看起来好了很多。,,,【光滑弹嫩】胶原蛋白面膜,2021/4/1 16:19,23:21.3,
x***0,PLUS会员,"<div class=""comment-star star5""></div>",买了三盒，特地用完才过来好评，补水效果很好，不刺激，贴上去很舒服，正品，性价比比较高。使用感受：杠杆滴适合肤质：混合跟干性皮肤补水效果：很好贴合效果：完美,,,【盈润光滑弹嫩】胶原蛋白面膜,2021/2/4 16:38,23:21.4,
s***a,PLUS会员,"<div class=""comment-star star5""></div>",这个牌子在京东上卖得挺好的，双十一价格也挺优惠，买了几个品种试试，效果还不错，精华液很多，很滋润，我皮肤很干也很好用，总体满意。,,,【光滑弹嫩】胶原蛋白面膜,2021/11/17 11:06,23:21.4,
呆***1,PLUS会员,"<div class=""comment-star star5""></div>",产品简易保包装但是不影响使用效果，保湿效果很好，适合油皮，用完感觉皮肤很水润，双十一价格划算，买了十几盒，五星好评哦！！,,,【光滑弹嫩】胶原蛋白面膜,2021/11/23 0:48,23:21.4,
后***上,PLUS会员,"<div class=""comment-star star5""></div>",还不错，一共买了三种，蓝色，黄色，黑色，今天用了一片黑色的。和以往用的一样，没啥区别，不过敏的，可以放心购买！价格超值了！物美价廉！,,,【光滑弹嫩】胶原蛋白面膜,2021/6/10 22:20,23:21.5,
c***a,PLUS会员,"<div class=""comment-star star5""></div>",使用感受：很水润，能感觉出补水保湿效果，隔两三天用一次，皮肤看起来好了很多适合肤质：我是中性肤质，使用很舒服补水效果：很好贴合效果：贴合的很舒服其他特色：物流特别快，打折力度很大,,,【光滑弹嫩】胶原蛋白面膜,2021/4/12 0:06,23:21.5,
朦***哒,PLUS会员,"<div class=""comment-star star5""></div>",补水的效果很好，黄色的也不错，白色的蓝色的补水也很好，京东活动时候购买很合适，很优惠以后还会继续购买的。送货上门，包装也好。,,,【光滑弹嫩】胶原蛋白面膜,2021/9/28 13:52,23:21.6,
d***d,PLUS会员,"<div class=""comment-star star5""></div>",补水效果明显，敷后肌肤滑嫩，精华液无色透明，有点黏，香气清爽。面膜拿出袋子，发现袋子里剩余的精华液很少，全在面膜纸上，敷了20分钟感觉还能再敷会儿。面膜纸浸透精华液，也很贴合皮肤。,,,【提亮紧致】胶原蛋白面膜,2020/11/9 10:03,23:21.6,
卜***欣,PLUS会员,"<div class=""comment-star star5""></div>",美迪惠尔面膜真心不错，面膜服帖，精华也不少，吸收效果也很好。送货快，618价格也相当实惠。可根据自己的肤质去对应选择。值得推荐的。,,,【光滑弹嫩】胶原蛋白面膜,2021/6/5 13:58,23:21.6,
朱***9,,"<div class=""comment-star star5""></div>",好不好，用事实说话，一下子买了10盒，这款面膜物美价廉，读书就开始用这个品牌的面膜，性价比高，补水效果也是不错的，包装很好，保护的很好哦。物流速度也是很快，次日到达哦，是正品，每次买都是买很多，一直信赖京东。,,,【弹力紧致】胶原蛋白面膜,,23:21.7,
超***长,PLUS会员,"<div class=""comment-star star5""></div>",这款面膜真的很棒！！！水分十足！！经常使用！！价格也不贵！！性价比很高！！下次还会来买的！！味道很好闻！！会推荐给朋友的！！,,,【光滑弹嫩】胶原蛋白面膜,2021/10/23 8:12,23:22.0,
****t,,"<div class=""comment-star star5""></div>",面膜补水效果很好，不油腻，贴合度强，我是干性皮肤，很适合。赶上6.18活动，超值！,,,【光滑弹嫩】胶原蛋白面膜,2021/6/21 17:27,23:22.0,
s***i,PLUS会员,"<div class=""comment-star star5""></div>",我的皮肤比较暗沉混合性的肌肤，用了这款面膜可以很好地补水，改善皮肤质地，味道香香的很好闻。用的时候比较方便，面膜布柔软透气，吸收好，敷上去清凉舒服，成分温和，完全不用担心会过敏长痘痘的问题。精华液很丰富，超值。,,,【提亮紧致】胶原蛋白面膜,2020/8/26 17:48,23:22.1,
p***i,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：质感非常的好，薄薄的，很贴合脸部，敷起来很舒服使用感受：感觉补水效果非常的好，用完以后，面部水水润润的适合肤质：偏油皮都可以用哦，不是很油补水效果：补水效果当然是非常的好啦，用完以后，皮肤感觉很水嫩呢贴合效果：所有的脸型都贴合的很好，因为面膜纸很薄，所以可以把面部整个都服帖到,,,【弹力紧致】胶原蛋白面膜,,23:22.1,
s***m,PLUS会员,"<div class=""comment-star star5""></div>",之前用过该品牌的保湿款，觉得不错，现在又来种草胶原蛋白的，该系列产品适合任何肤质吧，一样的面膜材质，薄如蝉翼，和脸部也非常的贴合，用后没有紧绷感，润润的，对于不同款的效果个人感觉大同小异，主要保湿效果都很好。,,,【提亮紧致】胶原蛋白面膜,2020/8/12 15:10,23:22.2,
****t,PLUS会员,"<div class=""comment-star star5""></div>",保湿效果还可以，温和不刺激挺好的，水分也多，敷着脸上特别清凉，特别的舒服，效果特别明显，特别的好，比同价位的产品好一点。,,,【盈润光滑弹嫩】胶原蛋白面膜,2021/2/21 1:15,23:22.2,
土***豆,PLUS会员,"<div class=""comment-star star5""></div>",今天刚收到货就迫不及待来用了，买了三个颜色的，因为之前用过蓝色，所以先试试黄色。打开一看，耶面膜上面还有字，头一次见，估计是见识浅?面膜大小合适，精华也比较多，味道很好闻。只是贴上去感觉不到那么湿湿的，多余的精华挤出来抹手上。用后感觉再追评吧。希望好用。,,,【提亮紧致】胶原蛋白面膜,2020/8/21 23:19,23:22.3,
C***5,PLUS会员,"<div class=""comment-star star5""></div>",一次买了四盒，性价比超级高！蓝色款是之前日常补水的，效果很不错，作为干皮敏感肌，对面膜比较挑剔，这款上脸不刺激，精华液很足，基本2-3天敷一次。满意,,,【提亮紧致】胶原蛋白面膜,2020/12/4 16:28,23:22.3,
小***7,PLUS会员,"<div class=""comment-star star5""></div>",京东发货及时，送货很快，物流迅速，购物便利。这款产品用起来效果很不错，赶上现在有活动的时候，性价比还是可以的。不过现在的价格比当时买的更低了，刚过了4天，不知道是否可以申请保价赔偿，如果京东客服看到，请答复一下。,【提亮紧致】胶原蛋白面膜,2020/6/9 13:54,,,23:22.3,
y***2,PLUS会员,"<div class=""comment-star star5""></div>",面膜收到了，七夕节买的，活动力度大，之前也用过这款面膜，比平常要便宜很多吖，买了好几种看哪种好用，发货速度快，价格实惠，很满意～好评。,,,【光滑弹嫩】胶原蛋白面膜,2021/8/17 15:29,23:22.4,
****k,,"<div class=""comment-star star5""></div>",很早就收到啦，现在才来评论。还没用，但这个品牌确实是多次回购啦，补水效果很好，上脸很舒服，敷完面膜后感觉脸上光滑了许多，也嫩了许多。多种肤质感觉都比较适合吧，贴合效果也很好，用完以后脸不紧绷很滑润，包装很精美，物流速度很快，总在说非常满意啦！,,,【弹力紧致】胶原蛋白面膜,,23:22.7,
****3,,"<div class=""comment-star star5""></div>",到了马上就敷了一千，精华不是很多，但是刚刚好，因为我喜欢了多精华的慢慢敷着舒服，很滑跟帖，还在敷着，夏天来了，面膜真的不能停！买一点，好用适合的话，下个月继续买?????????,,,胶原蛋白面膜10片,2017/8/11 19:51,23:22.8,
y***9,PLUS会员,"<div class=""comment-star star5""></div>",非常好用，滋润排行榜第一，强烈推荐，给家人也买了，推荐了给朋友，身边的也都在用不错,,,【光滑弹嫩】胶原蛋白面膜,2022/2/11 22:43,23:22.8,
