用户名,会员,星级,评论,类型1,评论时间1,类型2,评论时间2,采集时间,评论时间3
容***哥,PLUS会员,"<div class=""comment-star star5""></div>",原装进口的黑面膜，功能包括补水、紧致肌肤细纹等，经常使用，效果还是非常不错的。京东618活动，优惠力度还是蛮大的，非常的划算?,,,【收缩毛孔】毛孔紧致黑面膜,2021-06-25 09:09,2022-04-23 20:04:47.408,
馬***0,,"<div class=""comment-star star5""></div>",面膜收到了，四件四折优惠买的，喜欢黑色的膜布，用着挺好的，服帖，适合所有肤质，补水效果非常明显，京东商城值得购买，值得信赖,,,【收缩毛孔】毛孔紧致黑面膜,2021-08-13 17:21,2022-04-23 20:04:47.447,
****s,,"<div class=""comment-star star5""></div>",特别好用，我是那种一干就会长痘痘的肤质，一直用这个都挺好的，皮肤保持的很好，也不会出油，痘痘也不敢冒出来哦,,,毛孔紧致黑炭面膜10片,2018-08-20 10:02,2022-04-23 20:04:47.481,
W***猫,PLUS会员,"<div class=""comment-star star5""></div>",用过无数个品牌的面膜，用过无数种功能的面膜，直到遇见了这一款面膜，查看了以前的订单，发现已经无数次回购了，这是唯一一款面膜，让我用完以后能明显看到效果的，这款紧致细毛孔的很明显，还有另外一款绿色的美白的也特别好用，反正会无限继续回购下去！,,,【收缩毛孔】毛孔紧致黑面膜,2021-09-01 21:46,2022-04-23 20:04:47.527,
****C,,"<div class=""comment-star star5""></div>",贴在脸上很舒服，感觉皮肤在收缩，还会继续选购的。,【清洁收缩毛孔】毛孔紧致黑面膜,2020-12-10 01:56,,,2022-04-23 20:04:47.588,
布***珊,PLUS会员,"<div class=""comment-star star5""></div>",六一八入了很多面膜，这个夏天不用愁啦，都很不错，性价比超高。补水效果都不错，敷完袋子里还剩很多汁液，可以用来擦手粗擦腿。?,,,毛孔紧致黑炭面膜,,2022-04-23 20:04:47.630,
****n,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：高大上使用感受：感觉跟补水贴合效果：正好，非常贴合补水效果：不错！适合肤质：不太清楚其他特色：好用不贵,,,【清洁收缩毛孔】毛孔紧致黑面膜,2021-01-03 21:33,2022-04-23 20:04:47.666,
****b,,"<div class=""comment-star star5""></div>",产品质感：很软，服帖补水效果：好，两个一块用效果正好使用感受：黑色收缩毛孔的尺寸很适合脸型，很服帖，用完也很有效果，比较保湿，,,,【紧致细腻】毛孔紧致黑面膜,,2022-04-23 20:04:47.706,
c***2,,"<div class=""comment-star star5""></div>",一款值得推荐给大家分享的好产品，紧贴皮肤，大小合适，还有里面的精华液很多，非常的滋润，保湿补水效果不错，而且适合任何肤质，n次购买了一如既往地喜欢，赞一下?,,,【清洁收缩毛孔】毛孔紧致黑面膜,2020-12-24 19:39,2022-04-23 20:04:47.754,
扛***哥,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：囤它，就一个字。一直用，便宜实惠，效果好，使用感受：用的很舒服适合肤质：我的油性皮肤用了很不错。补水效果：补水效果不错，贴合效果：贴合度，不错，我的脸大点，有一点点小。,,,【收缩毛孔】毛孔紧致黑面膜,2021-05-19 15:47,2022-04-23 20:04:48.090,
零***幺,PLUS会员,"<div class=""comment-star star5""></div>",补水效果：蛮好的。第二天起来很水润产品质感：特别亲肤使用感受：不油腻。容易吸收适合肤质：混合性肤质都可以哦贴合效果：百分百贴合哦,,,毛孔紧致黑炭面膜,,2022-04-23 20:04:48.135,
W***2,,"<div class=""comment-star star5""></div>",美迪惠尔面膜很不错，面膜纸质地软糯，精华液超丰富，而且非常服帖，上脸效果很好，不同的面膜有不同的功效，比如可以修复淡斑，美白提亮，抗衰老等等。美迪惠尔不同面膜的功效：1、美迪惠尔修复针剂面膜这款是修复淡化色斑和细纹的，营养比较充足，适合干皮和25年龄的人群，上脸非常服帖，很滋润，精华也可以很快吸收。2、美迪惠尔IPI透亮面膜这个面膜的主要功能是淡化色斑，改善暗沉。成分表里面写着含有熊果苷，这是一种可以美白的物质，但是一定要在晚上用，如果是白天用的话，它是会吸光的，会让肤色更暗淡。3、美迪惠尔**f经典针剂水库面膜这个面膜是美迪惠尔经典中的经典了，它的贴合度很高，吸收力和营养成分都表现的非常不错。4、美迪惠尔WHP竹炭美白保湿黑面膜面膜纸质地软糯，精华液非常丰富，味道淡淡的，敷在脸上凉凉的很舒服，而且因为精华液略粘稠，所以吸收不是很快，能够在脸上多停留那么一下下也是不错，用过之后就像拥有了水光肌。,,,【紧致细腻】毛孔紧致黑面膜,,2022-04-23 20:04:48.183,
艾***克,,"<div class=""comment-star star5""></div>",产品质感：质感好喜欢，外观也很好使用感受：几周下来面部护理起来真的非常好适合肤质：脸上有黑头的可以试试补水效果：补水效果还可以这款的面膜效果是去黑头的贴合效果：贴脸上很舒服很清爽很舒适其他特色：两周下来面部的黑头有少些,,,【紧致肌肤】毛孔紧致黑面膜,2020-10-31 17:26,2022-04-23 20:04:48.227,
m***1,,"<div class=""comment-star star5""></div>",产品质感：非常高大上使用感受：服帖好用适合肤质：任何肤质补水效果：很补水贴合效果：稍微有点小，鼻子盖不住其他特色：收毛孔,,,【紧致肌肤】毛孔紧致黑面膜,2020-08-18 11:43,2022-04-23 20:04:48.278,
h***3,PLUS会员,"<div class=""comment-star star5""></div>",我皮肤属于特别敏感的。好多面膜用了都刺痒。但是这个面膜用了很舒服暂时只用了一次疗效还看不出来,,,毛孔紧致黑炭面膜,,2022-04-23 20:04:48.328,
加***人,PLUS会员,"<div class=""comment-star star5""></div>",缺水性肤质急需补水的很适用，精华液真的是很多，面膜本身有些大，感觉不是很服帖，但是补水效果还是很好的，用不掉的精华可以用来敷手,,,【紧致肌肤】毛孔紧致黑面膜,2020-11-15 09:52,2022-04-23 20:04:48.382,
****S,PLUS会员,"<div class=""comment-star star5""></div>",先婆最及善歡約而膜，産知貭感好，先繄康用後一自都很不錢，適合他的胩質，律水多多果地不錯，仙以兴一茬他(用完一找馬?下單補上。,,,【收缩毛孔】毛孔紧致黑面膜,2021-05-11 00:40,2022-04-23 20:04:48.435,
****f,,"<div class=""comment-star star5""></div>",用着很柔软，淡淡的香味，用后很清爽，很滑，很舒服！,,,【紧致肌肤】毛孔紧致黑面膜,2020-09-04 19:04,2022-04-23 20:04:48.486,
十***x,PLUS会员,"<div class=""comment-star star5""></div>",这个感觉有股淡淡的香味，挺好闻的，里面的精华液也很多，面膜纸薄，但是不容易破，服帖，敷完之后，感觉脸部很水润，保湿效果不错，脸部也变得有弹性了，补水效果非常好，湿湿润润的，用了以后皮肤水水嫩嫩的，摸起来也很光滑，也没有油腻的感觉，特别舒服。,,,【紧致肌肤】毛孔紧致黑面膜,2020-06-21 19:46,2022-04-23 20:04:48.552,
狮***灰,PLUS会员,"<div class=""comment-star star5""></div>",面膜很好，容易吸收，面膜吸水性强，大小合适，很满意，京东物流快，服务好。售后也好。越来越喜欢在京东购物。,,,毛孔紧致黑炭面膜10片,2018-07-19 08:54,2022-04-23 20:04:48.911,
S***7,PLUS会员,"<div class=""comment-star star5""></div>",双十一活动买的，价格超级划算，一下子要了好几盒，补水效果不错，贴合面部肌肤，比较喜欢，尤其是黑膜效果不错。,,,【紧致细腻】毛孔紧致黑面膜,,2022-04-23 20:04:48.951,
老***儿,PLUS会员,"<div class=""comment-star star5""></div>",一起买了好几种，评价都不知道发哪个图了，弄的太乱了，比以前买的要便宜好多，用着也很好，水分很大，敷着也很舒服，下次还会购买,,,【收缩毛孔】毛孔紧致黑面膜,2021-06-08 21:38,2022-04-23 20:04:48.987,
C***6,,"<div class=""comment-star star5""></div>",面膜可以的，不比春雨差。春雨是黏黏的，这款很清爽，敷完不洗脸也不会粘闷。敷完两天脸上觉得嫩嫩的，水润。脸色倒是没有变亮之类的，总之补水是杠杠的！推荐大家买来试试！,,,毛孔紧致黑炭面膜10片,2018-09-21 22:20,2022-04-23 20:04:49.020,
h***r,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：一如既往的好，很水润。使用感受：每两天敷一次，每次15分钟，光滑润爽，非常容易吸收。适合肤质：我是中性皮肤，偶尔出油，还是很适合的。补水效果：补水效果真不错，Q弹水润。贴合效果：贴合紧致，我脸比较大也刚好合适呵呵,,,毛孔紧致黑炭面膜,,2022-04-23 20:04:49.056,
冬***洋,PLUS会员,"<div class=""comment-star star5""></div>",美迪惠尔黑面膜是我用过最好用的面膜，非常贴合脸部轮廓，而且很舒服，用完脸明显嫩了不少，很有效果的面膜，这是我第三次购买了。,,,【紧致细腻】毛孔紧致黑炭面膜,,2022-04-23 20:04:49.099,
q***n,PLUS会员,"<div class=""comment-star star5""></div>",一次性囤了好多这个牌子的面膜，特别是这两款，很柔软，补水效果不错，之前用过一段时间了，现在是回购。面膜的材质很柔软，贴上很舒服。,,,【紧致肌肤】毛孔紧致黑面膜,2020-12-02 19:39,2022-04-23 20:04:49.152,
****g,PLUS会员,"<div class=""comment-star star5""></div>",这款面膜已经买好几次了，价格不贵，使用效果也很好，每天晚上敷面膜，皮肤补水效果也很好，没有丑女人只有懒女人，为了更好漂亮，加油！,,,【紧致肌肤】毛孔紧致黑面膜,2020-10-17 16:29,2022-04-23 20:04:49.189,
小***跳,PLUS会员,"<div class=""comment-star star5""></div>",以前看朋友在用，第一次买来试了下，超级好用，很补水，第二天化妆很服帖，棒棒哒,,,【紧致肌肤】毛孔紧致黑面膜,2020-10-21 21:54,2022-04-23 20:04:49.227,
大***西,PLUS会员,"<div class=""comment-star star5""></div>","第一次买美迪惠尔，看了好多评论说它好用，我想应该不会差，所以趁着活动，囤了一大堆慢慢用啦!用了几贴了，确实挺补水的，气味也淡淡的闻着很舒服,会坚持用下去的~",,,毛孔紧致黑炭面膜,,2022-04-23 20:04:49.276,
****c,PLUS会员,"<div class=""comment-star star5""></div>",有活动就会囤囤囤，自己囤完，给老妈囤，哈哈………这款用起来还蛮有效果的，肉眼可见的的白嫩，但是这么便宜的面膜不能指望长久。得坚持～家人也很喜欢,,,【收缩毛孔】毛孔紧致黑面膜,2021-03-22 08:13,2022-04-23 20:04:49.602,
****0,PLUS会员,"<div class=""comment-star star5""></div>",三八女神节，美迪惠尔面膜，229元四盒，价格很划算了，加上plus会员优惠，最后算下来才五十出头一盒，可以用很长时间了，感觉很有收获。这款面膜补水效果不错，而且从京东旗舰店上买可以保真，所以一直从这里买,,,【紧致细腻】毛孔紧致黑面膜,,2022-04-23 20:04:49.642,
3***u,PLUS会员,"<div class=""comment-star star5""></div>",一直用的是蓝色的那款补水面膜，效果非常好，但是自己的毛孔感觉有点粗大，所以选择这款收缩毛孔的面膜，希望这款面膜好用，信任这个牌子的化妆品,,,【收缩毛孔】毛孔紧致黑面膜,2021-11-21 22:35,2022-04-23 20:04:49.689,
u***l,PLUS会员,"<div class=""comment-star star5""></div>",以前买的补水款，看这功效，买来试试，每次搞促销都想囤一些，大瓶价格也特别实惠，碰到活动的时候优惠力度都特别大，囤货特别实惠，好用,,,【收缩毛孔】毛孔紧致黑面膜,2021-11-02 04:18,2022-04-23 20:04:49.743,
_***y,,"<div class=""comment-star star5""></div>",产品质感：真的没得说，特别喜欢用，真的很好使用感受：感觉很细致，很光滑，补水效果非常好适合肤质：我是干性皮肤，所以补水保湿面膜适合我补水效果：很好的?一级棒贴合效果：非常人性化其他特色：商家很好?一级棒赞,,,【收缩毛孔】毛孔紧致黑面膜,2021-05-23 14:58,2022-04-23 20:04:49.796,
F***6,PLUS会员,"<div class=""comment-star star5""></div>",面膜收到了，挺好，昨天货到就用了一片，精华特别多，用完之后感觉脸特别舒服，感觉挺水润的，价格还便宜，物流挺快的。,,,毛孔紧致黑炭面膜,,2022-04-23 20:04:49.870,
十***6,PLUS会员,"<div class=""comment-star star5""></div>",嗯特意使用了一段时间才来评价使用感受并不是很好味道很难闻每次敷上去的那种香味让人反感想呕吐介意者慎拍敷上去只有补水的效果别的并没有发现不能明白他们说敷一次就清洁黑头的郁闷害我买多了为了x豆所以还是全5星?京东物流很快快递小哥态度很好,,,【紧致细腻】毛孔紧致黑面膜,,2022-04-23 20:04:49.922,
****k,PLUS会员,"<div class=""comment-star star5""></div>",挺好用的，性价比很高，一次性买了3盒，精华液很充足，贴完面膜还有空余贴脖子贴脚，算是比较良心的量了，面膜很服帖，价钱很公道，贴后很保湿,,,【紧致肌肤】毛孔紧致黑面膜,2020-09-10 09:13,2022-04-23 20:04:49.972,
暖***e,PLUS会员,"<div class=""comment-star star5""></div>",给老婆买的面膜，在京东上看了好久，一个大男人也不懂面膜的好坏，比较了好久，后来只有问老婆哪一款好用，老婆就说这款她用过挺好的，补水去黑头效果很棒，后来毫不犹豫就买了几盒产品质感：很棒使用感受：很棒适合肤质：适合肤质：都适合补水效果：很棒,,,【清洁收缩毛孔】毛孔紧致黑面膜,2021-01-24 12:32,2022-04-23 20:04:50.024,
引***尚,PLUS会员,"<div class=""comment-star star5""></div>",一直在京东购物，比较地方便快捷，真的很好呢，用了很多年了，相信我，一定会让你体验感很好的，卖的东西比较正规，我会一直支持的。,,,【收缩毛孔】毛孔紧致黑面膜,2021-10-25 18:31,2022-04-23 20:04:50.081,
****9,,"<div class=""comment-star star5""></div>",产品质感：舒服使用感受：舒服适合肤质：任何肤质补水效果：非常好贴合效果：膜布很服帖，其他特色：超喜欢这款面膜，膜布非常适合脸部轮廓，补水效果好，按摩就会吸收，脸很舒服，嫩嫩的，,,,【紧致肌肤】毛孔紧致黑面膜,2020-09-25 20:01,2022-04-23 20:04:50.418,
w***1,PLUS会员,"<div class=""comment-star star5""></div>",很色的好像是去污的，用完感觉很清爽，脸很干净，很喜欢这款面膜，一次买了三盒，可以用很久了。自己也非常爱用面膜，所以买了这么多，每次敷完面膜之后用水洗干净，再涂其他护肤品，第二天皮肤很好的，京东物流配送的很快。,,,【紧致肌肤】毛孔紧致黑面膜,2020-09-13 08:20,2022-04-23 20:04:50.457,
c***i,PLUS会员,"<div class=""comment-star star5""></div>",已经很多次回购了，美迪惠尔是我一直在用的面膜，用其他牌子的多多少少会过敏，但是用这个牌子的就不会。而且保湿效果非常好，以前都用针剂，现在就换着使用各种类型的面膜。,,,【清洁收缩毛孔】毛孔紧致黑面膜,2021-01-12 15:23,2022-04-23 20:04:50.497,
j***q,,"<div class=""comment-star star5""></div>",东西很好，用着挺舒服的，活动时买的，很划算，不过做的时候得避着点孩子，要不然孩子容易害怕。,,,毛孔紧致黑炭面膜,,2022-04-23 20:04:50.533,
温***-,,"<div class=""comment-star star5""></div>",可莱丝家的水库面膜是比较经典的，便宜大碗，作为日常补水很不错，精华挺多，面膜纸贴上的时候感觉很清透，等待吸收之后还会出现，隐藏着的商标，蛮特别的。补水保湿效果，很多人都在推荐。可莱丝胶原蛋白面膜适合皮肤松弛的干性人群，面膜纸跟水库面膜是差不多的，精华适中够用，补水保湿效果挺好，不油腻，紧致和改善细纹需要长时间使用，性价比还蛮高的一款胶原蛋白面膜。,,,【紧致细腻】毛孔紧致黑面膜,,2022-04-23 20:04:50.572,
u***b,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：细腻使用感受：凉爽适合肤质：混合皮良好贴合效果：不算太合适，见图有的地方贴的不是很合适其他特色：黑色做面膜做的不是很勤，发现之前国产的一些产品效果也不错，不一定迷信韩国的牌子，追一下国产祛斑霜里送的试用面膜感觉效果还更好，再耐心贴一贴，期望能有意外惊喜的发生。,,,【紧致细腻】毛孔紧致黑面膜,,2022-04-23 20:04:50.610,
x***y,,"<div class=""comment-star star5""></div>",一直用这个牌子的，朋友好多人都在用，推荐购买的，美白补水，老公见了说还真好，滋润，脸色好多了，有印的才是正品呢，用过这牌子的好多产品，美白泡沫，蓝色款最补水呢，黑色款美白，皮肤光滑不少，很好用，特别喜欢。京东物流也很快。,,,毛孔紧致黑炭面膜,,2022-04-23 20:04:50.652,
慧***雨,PLUS会员,"<div class=""comment-star star5""></div>",买了两个品种的胶原蛋白的和这一款收缩毛孔的，用后的感觉就是收缩毛孔的，没有胶原蛋白的面膜的纸大，而且没有胶原蛋白的面膜，贴合脸部性好。本人毛孔比较大，所以也得用这款。京东物流非常给力，直营的东西没有超过24小时的。,,,毛孔紧致黑炭面膜,,2022-04-23 20:04:50.694,
****2,PLUS会员,"<div class=""comment-star star5""></div>",第一次用美迪惠尔的面膜，一直不敢尝试，我属于过敏肤质，用了这款面膜，也不过敏，用着很舒服，补水效果不错，比较贴个面部，很好用。,,,【清洁收缩毛孔】毛孔紧致黑面膜,2020-12-10 20:54,2022-04-23 20:04:50.745,
雨***云,PLUS会员,"<div class=""comment-star star5""></div>",感觉也挺好用的，里边的精华液也比较多，特别的湿润，也很服帖，贴的时间较长，然后感觉挺好的，很补水也很细致，挺好用的，第2次购买了，之前的是美迪惠尔的，其他的那个其他的款式就会换了一个全黑黑炭的，感觉挺好用的，效果明显！,,,【紧致细腻】毛孔紧致黑面膜,,2022-04-23 20:04:50.790,
三***待,PLUS会员,"<div class=""comment-star star5""></div>",面膜效果简直不要太好，我已经忘了推荐给几个人了。每次敷完面膜就感觉皮肤很嫩，很水润，各种系列的面膜对皮肤有各种针对性的改善，赞！,,,【收缩毛孔】毛孔紧致黑面膜,2021-03-20 15:32,2022-04-23 20:04:51.139,
凡***心,,"<div class=""comment-star star5""></div>",本以为要几天到货，没想到第二天就送到了，就喜欢京东这速度哈，这款面膜用了好多年了，一直都很喜欢，贴服补水细致毛孔，有活动买了四盒还送了一个洗面奶，好划算啊。,,,【深层清洁】毛孔紧致黑面膜,2022-04-17 07:39,2022-04-23 20:04:51.184,
u***6,PLUS会员,"<div class=""comment-star star5""></div>",这款是有清洁和紧致毛孔功效的，第一次，用了几片了，没有过敏，感觉不错，保湿效果很好，敷衍以后皮肤水嫩嫩的，毛孔也很通透，可能我比较适合这款。包装不占地方，精华液很足，味道也比较好闻。面膜布贴上没有憋闷感。做活动买的，很划算。,,,毛孔紧致黑炭面膜,,2022-04-23 20:04:51.236,
****d,PLUS会员,"<div class=""comment-star star5""></div>",这一款细致毛孔的效果比较明显，因此每次洗完脸做完去角质之后呢，再敷上这样一款面膜，皮肤就感觉到很紧致了。当然我是放在冰箱里的，需要的时候就取出来用一片。,,,【紧致肌肤】毛孔紧致黑面膜,2020-12-02 13:02,2022-04-23 20:04:51.290,
A***下,PLUS会员,"<div class=""comment-star star5""></div>",非常好用，面部清洁非常到位，但是鼻子的黑头还得用专用鼻贴，补水美白效果非常好，皮肤也非常适应它，每3天给皮肤做一次大保健。足以体现出自己的魅力，男人的加油站??。贴合度也非常好，无缝隙，无瑕疵。让皮肤充满活力。,【收缩毛孔】毛孔紧致黑面膜,2022-03-09 14:40,,,2022-04-23 20:04:51.348,
你***吧,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：外包装无破损！使用感受：用完脸上皮肤滑滑的精华超多！也好吸收！适合肤质：适用所有肤质补水效果：补水效果杠杠的！你值得拥有贴合效果：贴合效果也很不错！小伙伴们快买起来,,,【收缩毛孔】毛孔紧致黑面膜,2021-05-10 22:57,2022-04-23 20:04:51.402,
****3,PLUS会员,"<div class=""comment-star star5""></div>",网评特别好，所以买来试试，保湿补水，收缩毛孔，紧致肌肤，好像需要的作用都在里面，如果有用一定会回购的。京东物流一直很好，赞一下！,,,【收缩毛孔】毛孔紧致黑面膜,2021-04-14 14:28,2022-04-23 20:04:51.455,
****m,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：特别好用，一打开就闻到一股淡淡的香味适合肤质：我是干性皮肤，用了感觉挺好的，不会过敏补水效果：里面的精华液非常的多，敷了面膜之后皮肤光滑细腻其他特色：是我用过最喜欢的一款面膜了，一直都相信京东，选京东绝对不会错的，物流特别的快，不用再去超市买了省时省力使用感受：我皮肤很容易过敏，用了这款面膜不会过敏，值得购买,,,【紧致细腻】毛孔紧致黑面膜,,2022-04-23 20:04:51.506,
时***刻,PLUS会员,"<div class=""comment-star star5""></div>",一次性买了很多。销量挺高的，看起来应该挺好用的。用一段时间之后，皮肤会有所改善。一到冬天皮肤太差了，也不好。昨天晚上贴了一个，还是感觉挺舒服的，吸收特别的快。,,,【清洁收缩毛孔】毛孔紧致黑面膜,2020-12-27 08:26,2022-04-23 20:04:51.557,
****4,,"<div class=""comment-star star5""></div>",送货速度快，敏感皮肤，用了三次面膜，用着很好，很舒服，精华液多，面膜是黑色的，很喜欢,,,毛孔紧致黑炭面膜10片,2018-05-04 16:23,2022-04-23 20:04:51.618,
许***v,PLUS会员,"<div class=""comment-star star5""></div>",买了好几次不下十盒了，面膜布软软的，精华很足，可以完全贴合，敷20分钟都可以，敷完脸上很舒服，摸着水水嫩嫩的，哈哈哈哈，物流也很快，当天下单第二天就到了，不耽误使用,,,【紧致肌肤】毛孔紧致黑面膜,2020-11-15 12:03,2022-04-23 20:04:51.944,
w***7,PLUS会员,"<div class=""comment-star star5""></div>",双11搞活动，好了好几盒存货日后用，性价比很高，交付了定金比159元三件还要划算，物美价廉，算是近期较低的价格了产品质感：很有质感，包装设计也不错，面膜也很厚重，挺不错的使用感受：使用起来很舒服，面膜够水分，敷完面膜之后皮肤光滑细腻柔软很多，并且水水嫩嫩的，不是特别油腻适合肤质：我是混合性肌肤偏油性一些，用起来感觉还不错，没有特别的油腻，用完之后很清爽补水效果：补水效果非常不错，面膜水分充足，尤其秋冬季节，敷面膜后皮肤紧致光滑很多，没有那么粗糙贴合效果：这款面膜挺大的，贴合脸部轮廓清晰可见，能够覆盖着全脸，够大够味，一直用，值得推荐给大家！,,,【紧致细腻】毛孔紧致黑面膜,,2022-04-23 20:04:51.982,
e***3,PLUS会员,"<div class=""comment-star star5""></div>",这款面膜专门给孩子买的，在清除完黑头之后用的，希望对收缩毛孔有效果。面膜服贴，非常滋润，易吸收，味道清新。京东物流送货快。,,,【清洁收缩毛孔】毛孔紧致黑面膜,2021-03-12 20:42,2022-04-23 20:04:52.021,
小***9,,"<div class=""comment-star star5""></div>",吹爆这款，之前一直用的蓝色水库那款，最近感觉晒黑了，毛孔也有点大，就买了他家的两款黑膜，昨天到货后用了一张粉色包装的，精华液超多，而且面膜纸敷贴，这个面膜纸跟我的脸刚刚好好，不大不小，喜欢喜欢哈哈哈哈,,,毛孔紧致黑炭面膜,,2022-04-23 20:04:52.056,
x***8,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：婚礼前买的，很快就收到了，化妆师告诉我多敷面膜，遇上搞活动买了一堆，很实惠，又有保障使用感受：男女都可以用，和老公一起敷面膜，很不错补水效果：补水效果不错呢，男士用，效果很明显贴合效果：贴合很好,,,【紧致肌肤】毛孔紧致黑面膜,2020-10-05 13:30,2022-04-23 20:04:52.092,
u***4,,"<div class=""comment-star star5""></div>",产品质感：包装很很简洁，精华比较多多；使用感受：使用完之后能脸上很光滑细腻，皮肤当时有肉眼可见的白和光亮；适合肤质：我是混合型皮肤，用完不油腻，但是用完之后一定要洗脸，会比较清爽；补水效果：补水效果杠杠的，用完之后脸水润润的；贴合效果：面膜比较贴合，我脸比较大，还是能贴的住；其他特色：价格性价比比较高；,,,【紧致肌肤】毛孔紧致黑面膜,2020-09-21 14:19,2022-04-23 20:04:52.127,
u***x,PLUS会员,"<div class=""comment-star star5""></div>",使用感受：面膜布细腻光滑，设计的很合理与脸部完全贴合，而且设计了提拉效果。面膜液也很多，用完感觉皮肤喝满了水，滑溜溜的，一觉醒来，皮肤出油都比以往少了很多，希望长期用后皮肤出油有所改善。补水效果：特别棒，感觉用完皮肤立刻水嫩嫩，而且持续到第二天早上。其他特色：趁着活动多囤货，很值得,,,毛孔紧致黑炭面膜,,2022-04-23 20:04:52.169,
****j,PLUS会员,"<div class=""comment-star star5""></div>",物流很快，这款紧致毛孔黑膜非常不错。用后特别清爽，一点都不紧绷！一款爱美女士的最爱。更是一款网红品牌爆品的面膜。值得推荐给大家。,,,【清洁收缩毛孔】毛孔紧致黑面膜,2021-01-06 14:04,2022-04-23 20:04:52.211,
悠***界,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：袋子里面精华液很多使用感受：敷十五分钟左右拿下来脸上还会有很多精华导入仪帮助吸收很水润脸上滑滑的保湿效果很好适合肤质：个人认为适合各种肌肤补水效果：补水保湿效果很好很明显贴合效果：面膜纸很薄很容易贴敷,,,【紧致细腻】毛孔紧致黑面膜,,2022-04-23 20:04:52.254,
****n,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：很润，面膜上面水分很多的那种感觉使用感受：现在一直用的都是他们家面膜，适合肤质：个人混合型肌肤，感觉用起来完全没问题补水效果：补水效果真的蛮好，第二天起来脸都润润，,,,【紧致肌肤】毛孔紧致黑面膜,2020-11-23 21:28,2022-04-23 20:04:52.306,
尛***牛,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：黑丝面膜值得拥有使用感受：淡淡的香味，是我喜欢的适合肤质：我是油性皮肤，很不错补水效果：嫩嫩的贴合效果：贴合不错，就是我的脸有点大其他特色：包装粉嫩物流速度一如既往的迅速,,,【收缩毛孔】毛孔紧致黑面膜,2021-11-02 09:44,2022-04-23 20:04:52.634,
时***头,,"<div class=""comment-star star5""></div>",不错哦，给婆婆买的，希望她喜欢。活动买的很划算呢，平均一片5.5元左右，用着好的话会回购的。,,,毛孔紧致黑炭面膜,,2022-04-23 20:04:52.673,
C***4,PLUS会员,"<div class=""comment-star star5""></div>",产品很好用会回购很水润适合相扑水的人群比其他品牌的性价比高很多?????????????,,,【收缩毛孔】毛孔紧致黑面膜,2021-11-09 12:58,2022-04-23 20:04:52.720,
w***l,PLUS会员,"<div class=""comment-star star5""></div>",怎么说呢！之前别送的这款面膜，感觉不错，精华液很多，面巾又薄，很贴合脸部，也用过其它面膜总感觉这个??牌子的比较好，之前在京东上也拍过，没有这次优惠力度大，毫不犹豫的拍下了三盒，留给自己用，又拍下了三盒送朋友的生日礼物，感觉好的东西就要分享给身边的朋友们，个人挺喜欢黑色这款的,,,【收缩毛孔】毛孔紧致黑面膜,2021-03-31 08:03,2022-04-23 20:04:52.767,
沐***宇,PLUS会员,"<div class=""comment-star star5""></div>",平价又好用的面膜，补水性能特别好，尤其是在上妆之前来一片，不会卡粉不会起皮哦，趁着活动应该多囤一点儿，冬天的北方有暖气太干燥了，不敷面膜真的受不了,,,【清洁收缩毛孔】毛孔紧致黑面膜,2021-01-11 10:57,2022-04-23 20:04:52.813,
一***4,PLUS会员,"<div class=""comment-star star5""></div>",精华很多，补水效果杠杠的，很水润，很凉爽，完美贴合面部皮肤，大小尺寸合适，适合任何肤质，价格实惠，性价比极高的一款面膜，推荐大家购买，自己使用快10年了。,,,【紧致肌肤】毛孔紧致黑面膜,2020-11-28 23:06,2022-04-23 20:04:52.861,
****5,PLUS会员,"<div class=""comment-star star5""></div>",面膜用起来很舒服，很好用，精华很多，保湿效果很好，做活动买很划算，一直很信赖京东，会继续购买。,,,毛孔紧致黑炭面膜,,2022-04-23 20:04:52.921,
****e,PLUS会员,"<div class=""comment-star star5""></div>",一直买这个品牌的面膜，满满满满的精华，第二天皮肤很细腻！,,,【收缩毛孔】毛孔紧致黑面膜,2021-07-31 22:16,2022-04-23 20:04:52.970,
c***2,,"<div class=""comment-star star5""></div>",适合肤质：我是油性肤质使用感受：面膜里面有很多精华液，使用下来皮肤非常滋润贴合效果：紧贴皮肤大小合适补水效果：非常满意出奇的好这款产品我是n次购买了，一如既往地喜欢，还会继续使用，赞一个！?,,,【清洁收缩毛孔】毛孔紧致黑面膜,2020-12-12 19:16,2022-04-23 20:04:53.020,
J***7,PLUS会员,"<div class=""comment-star star5""></div>",用了一年多的美迪惠尔，很喜欢，比较喜欢黄的橘的和黑的。黑的贴上跟山贼似的，很柔和很舒适，水分不少，有没有吸附效果没感觉出来，但贴还是比不贴强,,,【紧致细腻】毛孔紧致黑炭面膜,,2022-04-23 20:04:53.082,
